,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381,391,401,411
0,1,2,2,2,5,6,7,11,14,18,21,22,22,23,25,26,29,29,32,32,33,36,37,38,39,42,42,42,43,44,44,46,46,47,48,49,50,52,52,52,52
1,0,1,1,1,2,4,6,8,12,18,21,22,26,28,30,31,32,32,32,33,35,36,36,36,37,37,37,38,40,41,42,44,45,47,48,50,52,52,52,52,52
2,1,1,1,2,4,5,6,8,9,11,16,19,20,22,25,28,29,29,31,32,35,36,37,37,38,41,43,43,43,45,46,46,47,47,47,49,49,49,52,52,52
3,0,0,0,1,1,1,3,4,5,7,10,13,14,17,21,23,24,26,27,27,30,31,31,33,33,34,34,34,37,39,42,44,45,46,47,49,50,50,51,52,52
4,3,3,4,4,8,12,15,16,18,21,22,22,23,24,26,26,28,31,33,35,36,36,38,39,39,40,40,41,41,41,43,44,46,47,47,47,50,51,51,52,52
5,1,1,1,3,4,5,5,9,11,16,19,23,25,26,26,27,28,29,29,30,33,36,37,41,42,43,44,45,46,46,46,46,47,47,48,48,50,52,52,52,52
6,1,1,1,1,4,5,6,8,11,12,16,21,22,25,25,25,26,27,27,27,27,28,28,29,30,31,35,35,38,43,46,46,46,46,46,48,48,48,50,52,52
7,0,0,0,0,0,0,0,7,7,8,8,10,15,17,18,20,20,21,21,21,22,23,26,28,30,32,36,38,39,40,42,43,44,44,44,44,46,50,51,51,52
8,3,3,5,6,6,8,9,10,15,16,19,22,23,25,27,29,30,30,31,33,33,35,35,35,38,39,39,39,41,41,42,45,46,47,48,48,49,51,51,52,52
9,3,3,4,7,7,10,17,20,21,22,25,27,28,31,34,35,36,36,37,38,39,39,41,41,43,43,43,44,44,44,45,47,49,50,50,50,50,51,51,51,52
