name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.17: [{direction}, *]",0,0.1650485436893204,0,-1.0,-1.0,-1.0
"0.54: [{evaluateCustomBlock:userDef}, *]",1,0.5436893203883495,0.5263157894736842,-1.0,-1.0,-1.0
"0.26: [{getCostumeIdx}, *]",2,0.2621359223300971,0.22180451127819548,-1.0,-1.0,-1.0
"0.13: [{getTimer}, *]",3,0.1262135922330097,0,-1.0,-1.0,-1.0
"0.43: [{literal:Stage}, *]",4,0.42718446601941745,0.4398496240601504,-1.0,-1.0,-1.0
"0.54: [{literal:all}, *]",5,0.5436893203883495,0.31954887218045114,-1.0,-1.0,-1.0
"0.20: [{literal:back}, *]",6,0.20388349514563106,0.23684210526315788,-1.0,-1.0,-1.0
"0.26: [{literal:color}, *]",7,0.2621359223300971,0.18045112781954886,-1.0,-1.0,-1.0
"0.42: [{literal:down arrow}, *]",8,0.4174757281553398,0.2706766917293233,-1.0,-1.0,-1.0
"0.40: [{literal:ghost}, *]",9,0.39805825242718446,0.36466165413533835,-1.0,-1.0,-1.0
"0.65: [{literal:left arrow}, *]",10,0.6504854368932039,0.43609022556390975,-1.0,-1.0,-1.0
"0.42: [{literal:mouse-pointer}, *]",11,0.4174757281553398,0.2744360902255639,-1.0,-1.0,-1.0
"0.48: [{literal:myself}, *]",12,0.47572815533980584,0.3458646616541353,-1.0,-1.0,-1.0
"0.65: [{literal:right arrow}, *]",13,0.6504854368932039,0.44360902255639095,-1.0,-1.0,-1.0
"0.51: [{literal:space}, *]",14,0.5145631067961165,0.38345864661654133,-1.0,-1.0,-1.0
"0.54: [{literal:up arrow}, *]",15,0.5436893203883495,0.40601503759398494,-1.0,-1.0,-1.0
"1.00: [{literal:userDef}, *]",16,1.0,0.9962406015037594,-1.0,-1.0,-1.0
"0.20: [{reportMouseDown}, *]",17,0.20388349514563106,0.18045112781954886,-1.0,-1.0,-1.0
"0.18: [{reportMouseX}, *]",18,0.18446601941747573,0.13533834586466165,-1.0,-1.0,-1.0
"0.14: [{reportMouseY}, *]",19,0.13592233009708737,0.11654135338345864,-1.0,-1.0,-1.0
"0.47: [{script}, *]",20,0.46601941747572817,0.518796992481203,-1.0,-1.0,-1.0
"0.80: [{var:userDef}, *]",21,0.7961165048543689,0.575187969924812,-1.0,-1.0,-1.0
"1.00: [{varMenu:userDef}, *]",22,1.0,0.631578947368421,-1.0,-1.0,-1.0
"0.38: [{xPosition}, *]",23,0.3786407766990291,0.2819548872180451,-1.0,-1.0,-1.0
"0.37: [{yPosition}, *]",24,0.36893203883495146,0.2857142857142857,-1.0,-1.0,-1.0
"0.28: [script, {bounceOffEdge}, *]",25,0.2815533980582524,0.11278195488721804,-1.0,-1.0,-1.0
"0.18: [script, {clearEffects}, *]",26,0.18446601941747573,0.18796992481203006,-1.0,-1.0,-1.0
"0.15: [script, {doResetTimer}, *]",27,0.14563106796116504,0.10902255639097744,-1.0,-1.0,-1.0
"0.22: [script, {doStopAllSounds}, *]",28,0.22330097087378642,0.20300751879699247,-1.0,-1.0,-1.0
"0.40: [script, {doWearNextCostume}, *]",29,0.39805825242718446,0.4849624060150376,-1.0,-1.0,-1.0
"0.50: [script, {evaluateCustomBlock:userDef}, *]",30,0.49514563106796117,0.5,-1.0,-1.0,-1.0
"0.23: [reportEquals, {getCostumeIdx}, *]",31,0.23300970873786409,0.17293233082706766,-1.0,-1.0,-1.0
"0.82: [script, {hide}, *]",32,0.8155339805825242,0.7819548872180451,-1.0,-1.0,-1.0
"0.18: [reportAttributeOf, {literal:Stage}, *]",33,0.18446601941747573,0.11278195488721804,-1.0,-1.0,-1.0
"0.11: [reportMonadic, {literal:abs}, *]",34,0.10679611650485436,0,-1.0,-1.0,-1.0
"0.35: [reportKeyPressed, {literal:down arrow}, *]",35,0.34951456310679613,0.18796992481203006,-1.0,-1.0,-1.0
"0.39: [reportTouchingObject, {literal:edge}, *]",36,0.3883495145631068,0.14661654135338345,-1.0,-1.0,-1.0
"0.58: [reportKeyPressed, {literal:left arrow}, *]",37,0.5825242718446602,0.3383458646616541,-1.0,-1.0,-1.0
"0.26: [reportTouchingObject, {literal:mouse-pointer}, *]",38,0.2621359223300971,0.19172932330827067,-1.0,-1.0,-1.0
"0.58: [reportKeyPressed, {literal:right arrow}, *]",39,0.5825242718446602,0.34210526315789475,-1.0,-1.0,-1.0
"0.35: [reportKeyPressed, {literal:space}, *]",40,0.34951456310679613,0.20300751879699247,-1.0,-1.0,-1.0
"0.47: [reportKeyPressed, {literal:up arrow}, *]",41,0.46601941747572817,0.31203007518796994,-1.0,-1.0,-1.0
"0.36: [reportProduct, {literal:userDef}, *]",42,0.3592233009708738,0.33458646616541354,-1.0,-1.0,-1.0
"0.36: [reportAttributeOf, {literal:userDef}, *]",43,0.3592233009708738,0.2518796992481203,-1.0,-1.0,-1.0
"0.29: [reportDifference, {literal:userDef}, *]",44,0.2912621359223301,0.23308270676691728,-1.0,-1.0,-1.0
"0.90: [reportTouchingObject, {literal:userDef}, *]",45,0.9029126213592233,0.4473684210526316,-1.0,-1.0,-1.0
"0.65: [reportRandom, {literal:userDef}, *]",46,0.6504854368932039,0.44360902255639095,-1.0,-1.0,-1.0
"0.65: [reportLessThan, {literal:userDef}, *]",47,0.6504854368932039,0.45112781954887216,-1.0,-1.0,-1.0
"0.66: [reportEquals, {literal:userDef}, *]",48,0.6601941747572816,0.5112781954887218,-1.0,-1.0,-1.0
"0.33: [reportTouchingColor, {literal:userDef}, *]",49,0.3300970873786408,0.2593984962406015,-1.0,-1.0,-1.0
"0.39: [reportKeyPressed, {literal:userDef}, *]",50,0.3883495145631068,0.2556390977443609,-1.0,-1.0,-1.0
"0.27: [reportSum, {literal:userDef}, *]",51,0.27184466019417475,0.18421052631578946,-1.0,-1.0,-1.0
"0.23: [reportQuotient, {literal:userDef}, *]",52,0.23300970873786409,0.17293233082706766,-1.0,-1.0,-1.0
"1.00: [script, {receiveGo}, *]",53,1.0,0.9661654135338346,-1.0,-1.0,-1.0
"0.48: [script, {removeClone}, *]",54,0.47572815533980584,0.3233082706766917,-1.0,-1.0,-1.0
"0.14: [reportAnd, {reportMouseDown}, *]",55,0.13592233009708737,0.12406015037593984,-1.0,-1.0,-1.0
"0.81: [script, {show}, *]",56,0.8058252427184466,0.7744360902255639,-1.0,-1.0,-1.0
