name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.40: [{evaluateCustomBlock:userDef}, *]",0,0.4,0.5128939828080229,-1.0,-1.0,-1.0
"0.10: [{getCostumeIdx}, *]",1,0.1,0.22636103151862463,-1.0,-1.0,-1.0
"0.25: [{literal:color}, *]",2,0.25,0.19197707736389685,-1.0,-1.0,-1.0
"0.55: [{literal:left arrow}, *]",3,0.55,0.48424068767908307,-1.0,-1.0,-1.0
"0.50: [{literal:mouse-pointer}, *]",4,0.5,0.3008595988538682,-1.0,-1.0,-1.0
"0.50: [{literal:right arrow}, *]",5,0.5,0.49570200573065903,-1.0,-1.0,-1.0
"0.15: [{literal:space}, *]",6,0.15,0.42120343839541546,-1.0,-1.0,-1.0
"1.00: [{literal:userDef}, *]",7,1.0,0.994269340974212,-1.0,-1.0,-1.0
"0.45: [{script}, *]",8,0.45,0.47564469914040114,-1.0,-1.0,-1.0
"0.55: [{var:userDef}, *]",9,0.55,0.6561604584527221,-1.0,-1.0,-1.0
"0.25: [{xPosition}, *]",10,0.25,0.30659025787965616,-1.0,-1.0,-1.0
"0.30: [{yPosition}, *]",11,0.3,0.30945558739255014,-1.0,-1.0,-1.0
"0.15: [script, {doStopAllSounds}, *]",12,0.15,0.20916905444126074,-1.0,-1.0,-1.0
"0.35: [script, {doWearNextCostume}, *]",13,0.35,0.47564469914040114,-1.0,-1.0,-1.0
"0.35: [script, {evaluateCustomBlock:userDef}, *]",14,0.35,0.4813753581661891,-1.0,-1.0,-1.0
"0.10: [reportTouchingObject, {literal:mouse-pointer}, *]",15,0.1,0.2177650429799427,-1.0,-1.0,-1.0
"0.25: [reportProduct, {literal:userDef}, *]",16,0.25,0.3467048710601719,-1.0,-1.0,-1.0
"0.25: [reportLessThan, {var:userDef}, *]",17,0.25,0.46418338108882523,-1.0,-1.0,-1.0
"0.25: [reportProduct, {var:userDef}, *]",18,0.25,0.3037249283667622,-1.0,-1.0,-1.0
"0.25: [doForever, script, {doWearNextCostume}, *]",19,0.25,0.1346704871060172,-1.0,-1.0,-1.0
"0.75: [sprite:userDef, script, {hide}, *]",20,0.75,0.7535816618911175,-1.0,-1.0,-1.0
"0.10: [script, setEffect, {literal:color}, *]",21,0.1,0,-1.0,-1.0,-1.0
"0.20: [doIf, reportTouchingObject, {literal:edge}, *]",22,0.2,0,-1.0,-1.0,-1.0
"0.25: [script, goToLayer, {literal:front}, *]",23,0.25,0.4355300859598854,-1.0,-1.0,-1.0
"0.10: [script, setEffect, {literal:ghost}, *]",24,0.1,0.33810888252148996,-1.0,-1.0,-1.0
"0.20: [script, receiveInteraction, {literal:pressed}, *]",25,0.2,0.36962750716332377,-1.0,-1.0,-1.0
"0.75: [script, gotoXY, {literal:userDef}, *]",26,0.75,0.7879656160458453,-1.0,-1.0,-1.0
"0.20: [doIf, reportKeyPressed, {literal:userDef}, *]",27,0.2,0.1518624641833811,-1.0,-1.0,-1.0
"0.15: [changeXPosition, reportProduct, {literal:userDef}, *]",28,0.15,0.14040114613180515,-1.0,-1.0,-1.0
"0.50: [script, receiveMessage, {literal:userDef}, *]",29,0.5,0.6389684813753582,-1.0,-1.0,-1.0
"0.30: [script, doGotoObject, {literal:userDef}, *]",30,0.3,0.2034383954154728,-1.0,-1.0,-1.0
"0.10: [doIfElse, reportLessThan, {literal:userDef}, *]",31,0.1,0.28939828080229224,-1.0,-1.0,-1.0
"0.15: [reportOr, reportEquals, {literal:userDef}, *]",32,0.15,0.22349570200573066,-1.0,-1.0,-1.0
"0.25: [reportOr, reportTouchingObject, {literal:userDef}, *]",33,0.25,0.1977077363896848,-1.0,-1.0,-1.0
"0.10: [doWait, reportRandom, {literal:userDef}, *]",34,0.1,0.166189111747851,-1.0,-1.0,-1.0
"0.75: [script, doSwitchToCostume, {literal:userDef}, *]",35,0.75,0.8194842406876791,-1.0,-1.0,-1.0
"0.10: [doUntil, reportEquals, {literal:userDef}, *]",36,0.1,0.2521489971346705,-1.0,-1.0,-1.0
"0.20: [gotoXY, reportRandom, {literal:userDef}, *]",37,0.2,0.22922636103151864,-1.0,-1.0,-1.0
"0.15: [script, setEffect, {literal:userDef}, *]",38,0.15,0.3753581661891118,-1.0,-1.0,-1.0
"0.20: [script, doGlide, {literal:userDef}, *]",39,0.2,0.36103151862464183,-1.0,-1.0,-1.0
"0.15: [script, doSayFor, {literal:userDef}, *]",40,0.15,0.2808022922636103,-1.0,-1.0,-1.0
"0.15: [doIf, reportEquals, {literal:userDef}, *]",41,0.15,0.4699140401146132,-1.0,-1.0,-1.0
"0.15: [changeYPosition, reportProduct, {literal:userDef}, *]",42,0.15,0.1318051575931232,-1.0,-1.0,-1.0
"0.10: [reportAnd, reportEquals, {literal:userDef}, *]",43,0.1,0.2148997134670487,-1.0,-1.0,-1.0
"0.10: [script, receiveKey, {literal:userDef}, *]",44,0.1,0.19197707736389685,-1.0,-1.0,-1.0
"0.50: [script, doBroadcast, {literal:userDef}, *]",45,0.5,0.6389684813753582,-1.0,-1.0,-1.0
"1.00: [sprite:userDef, script, {receiveGo}, *]",46,1.0,0.9627507163323782,-1.0,-1.0,-1.0
"0.15: [sprite:userDef, script, {removeClone}, *]",47,0.15,0.30659025787965616,-1.0,-1.0,-1.0
