name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.13: [{direction}, *]",0,0.125,0,-1.0,-1.0,-1.0
"0.75: [{evaluateCustomBlock:userDef}, *]",1,0.75,0.4612794612794613,-1.0,-1.0,-1.0
"0.39: [{getCostumeIdx}, *]",2,0.3888888888888889,0.16498316498316498,-1.0,-1.0,-1.0
"0.11: [{getScale}, *]",3,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.11: [{getTimer}, *]",4,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.58: [{literal:Stage}, *]",5,0.5833333333333334,0.4107744107744108,-1.0,-1.0,-1.0
"0.32: [{literal:all}, *]",6,0.3194444444444444,0.367003367003367,-1.0,-1.0,-1.0
"0.33: [{literal:back}, *]",7,0.3333333333333333,0.18855218855218855,-1.0,-1.0,-1.0
"0.29: [{literal:brightness}, *]",8,0.2916666666666667,0.12794612794612795,-1.0,-1.0,-1.0
"0.26: [{literal:color}, *]",9,0.2638888888888889,0.20202020202020202,-1.0,-1.0,-1.0
"0.40: [{literal:down arrow}, *]",10,0.4027777777777778,0.2962962962962963,-1.0,-1.0,-1.0
"0.64: [{literal:ghost}, *]",11,0.6388888888888888,0.30976430976430974,-1.0,-1.0,-1.0
"0.92: [{literal:left arrow}, *]",12,0.9166666666666666,0.38047138047138046,-1.0,-1.0,-1.0
"0.42: [{literal:mouse-pointer}, *]",13,0.4166666666666667,0.28619528619528617,-1.0,-1.0,-1.0
"0.50: [{literal:myself}, *]",14,0.5,0.3333333333333333,-1.0,-1.0,-1.0
"0.92: [{literal:right arrow}, *]",15,0.9166666666666666,0.3872053872053872,-1.0,-1.0,-1.0
"0.54: [{literal:space}, *]",16,0.5416666666666666,0.39730639730639733,-1.0,-1.0,-1.0
"0.89: [{literal:up arrow}, *]",17,0.8888888888888888,0.32996632996632996,-1.0,-1.0,-1.0
"1.00: [{literal:userDef}, *]",18,1.0,0.9932659932659933,-1.0,-1.0,-1.0
"0.36: [{reportMouseDown}, *]",19,0.3611111111111111,0.13468013468013468,-1.0,-1.0,-1.0
"0.25: [{reportMouseX}, *]",20,0.25,0.11447811447811448,-1.0,-1.0,-1.0
"0.24: [{reportMouseY}, *]",21,0.2361111111111111,0,-1.0,-1.0,-1.0
"0.61: [{script}, *]",22,0.6111111111111112,0.46464646464646464,-1.0,-1.0,-1.0
"0.93: [{var:userDef}, *]",23,0.9305555555555556,0.5622895622895623,-1.0,-1.0,-1.0
"0.99: [{varDec:userDef}, *]",24,0.9861111111111112,0.9191919191919192,-1.0,-1.0,-1.0
"0.61: [{xPosition}, *]",25,0.6111111111111112,0.2255892255892256,-1.0,-1.0,-1.0
"0.65: [{yPosition}, *]",26,0.6527777777777778,0.20875420875420875,-1.0,-1.0,-1.0
"0.13: [script, {bounceOffEdge}, *]",27,0.125,0.1717171717171717,-1.0,-1.0,-1.0
"0.11: [script, {clear}, *]",28,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.24: [script, {clearEffects}, *]",29,0.2361111111111111,0.16835016835016836,-1.0,-1.0,-1.0
"0.18: [script, {doResetTimer}, *]",30,0.18055555555555555,0,-1.0,-1.0,-1.0
"0.31: [script, {doStopAllSounds}, *]",31,0.3055555555555556,0.18181818181818182,-1.0,-1.0,-1.0
"0.67: [script, {doWearNextCostume}, *]",32,0.6666666666666666,0.4208754208754209,-1.0,-1.0,-1.0
"0.71: [script, {evaluateCustomBlock:userDef}, *]",33,0.7083333333333334,0.4276094276094276,-1.0,-1.0,-1.0
"0.33: [reportEquals, {getCostumeIdx}, *]",34,0.3333333333333333,0.13468013468013468,-1.0,-1.0,-1.0
"0.96: [script, {hide}, *]",35,0.9583333333333334,0.7306397306397306,-1.0,-1.0,-1.0
"0.19: [reportAttributeOf, {literal:Stage}, *]",36,0.19444444444444445,0.11784511784511785,-1.0,-1.0,-1.0
"0.21: [reportMonadic, {literal:abs}, *]",37,0.20833333333333334,0,-1.0,-1.0,-1.0
"0.32: [reportKeyPressed, {literal:down arrow}, *]",38,0.3194444444444444,0.21212121212121213,-1.0,-1.0,-1.0
"0.29: [reportTouchingObject, {literal:edge}, *]",39,0.2916666666666667,0.1919191919191919,-1.0,-1.0,-1.0
"0.83: [reportKeyPressed, {literal:left arrow}, *]",40,0.8333333333333334,0.27946127946127947,-1.0,-1.0,-1.0
"0.35: [reportTouchingObject, {literal:mouse-pointer}, *]",41,0.3472222222222222,0.18181818181818182,-1.0,-1.0,-1.0
"0.83: [reportKeyPressed, {literal:right arrow}, *]",42,0.8333333333333334,0.2828282828282828,-1.0,-1.0,-1.0
"0.43: [reportKeyPressed, {literal:space}, *]",43,0.4305555555555556,0.20202020202020202,-1.0,-1.0,-1.0
"0.79: [reportKeyPressed, {literal:up arrow}, *]",44,0.7916666666666666,0.23905723905723905,-1.0,-1.0,-1.0
"0.72: [reportProduct, {literal:userDef}, *]",45,0.7222222222222222,0.23232323232323232,-1.0,-1.0,-1.0
"0.40: [reportAttributeOf, {literal:userDef}, *]",46,0.4027777777777778,0.24242424242424243,-1.0,-1.0,-1.0
"0.44: [reportDifference, {literal:userDef}, *]",47,0.4444444444444444,0.19528619528619529,-1.0,-1.0,-1.0
"0.86: [reportTouchingObject, {literal:userDef}, *]",48,0.8611111111111112,0.4781144781144781,-1.0,-1.0,-1.0
"0.51: [reportRandom, {literal:userDef}, *]",49,0.5138888888888888,0.48484848484848486,-1.0,-1.0,-1.0
"0.81: [reportLessThan, {literal:userDef}, *]",50,0.8055555555555556,0.4107744107744108,-1.0,-1.0,-1.0
"0.86: [reportEquals, {literal:userDef}, *]",51,0.8611111111111112,0.468013468013468,-1.0,-1.0,-1.0
"0.47: [reportTouchingColor, {literal:userDef}, *]",52,0.4722222222222222,0.2356902356902357,-1.0,-1.0,-1.0
"0.54: [reportKeyPressed, {literal:userDef}, *]",53,0.5416666666666666,0.19528619528619529,-1.0,-1.0,-1.0
"0.35: [reportSum, {literal:userDef}, *]",54,0.3472222222222222,0.16161616161616163,-1.0,-1.0,-1.0
"0.36: [reportQuotient, {literal:userDef}, *]",55,0.3611111111111111,0.14814814814814814,-1.0,-1.0,-1.0
"0.46: [script, {removeClone}, *]",56,0.4583333333333333,0.3265993265993266,-1.0,-1.0,-1.0
"0.11: [reportNot, {reportMouseDown}, *]",57,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.28: [reportAnd, {reportMouseDown}, *]",58,0.2777777777777778,0,-1.0,-1.0,-1.0
"0.19: [reportLessThan, {reportMouseX}, *]",59,0.19444444444444445,0,-1.0,-1.0,-1.0
"0.17: [reportLessThan, {reportMouseY}, *]",60,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.96: [script, {show}, *]",61,0.9583333333333334,0.7104377104377104,-1.0,-1.0,-1.0
"0.19: [reportMonadic, {var:userDef}, *]",62,0.19444444444444445,0,-1.0,-1.0,-1.0
"0.76: [reportEquals, {var:userDef}, *]",63,0.7638888888888888,0.40404040404040403,-1.0,-1.0,-1.0
"0.32: [reportDifference, {var:userDef}, *]",64,0.3194444444444444,0.12121212121212122,-1.0,-1.0,-1.0
"0.15: [reportLetter, {var:userDef}, *]",65,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.13: [reportListItem, {var:userDef}, *]",66,0.125,0,-1.0,-1.0,-1.0
"0.32: [reportSum, {var:userDef}, *]",67,0.3194444444444444,0.10774410774410774,-1.0,-1.0,-1.0
"0.35: [reportQuotient, {var:userDef}, *]",68,0.3472222222222222,0.11447811447811448,-1.0,-1.0,-1.0
"0.11: [reportStringSize, {var:userDef}, *]",69,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.85: [reportLessThan, {var:userDef}, *]",70,0.8472222222222222,0.3367003367003367,-1.0,-1.0,-1.0
"0.72: [reportProduct, {var:userDef}, *]",71,0.7222222222222222,0.19528619528619529,-1.0,-1.0,-1.0
"0.49: [reportLessThan, {xPosition}, *]",72,0.4861111111111111,0.12794612794612795,-1.0,-1.0,-1.0
"0.11: [reportEquals, {xPosition}, *]",73,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.11: [reportEquals, {yPosition}, *]",74,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.49: [reportLessThan, {yPosition}, *]",75,0.4861111111111111,0.13804713804713806,-1.0,-1.0,-1.0
"0.21: [sprite:userDef, script, {clearEffects}, *]",76,0.20833333333333334,0.15151515151515152,-1.0,-1.0,-1.0
"0.14: [sprite:userDef, script, {doStopAllSounds}, *]",77,0.1388888888888889,0.13131313131313133,-1.0,-1.0,-1.0
"0.11: [doIf, script, {doStopAllSounds}, *]",78,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.15: [doForever, script, {doWearNextCostume}, *]",79,0.1527777777777778,0.13131313131313133,-1.0,-1.0,-1.0
"0.26: [doRepeat, script, {doWearNextCostume}, *]",80,0.2638888888888889,0.1919191919191919,-1.0,-1.0,-1.0
"0.25: [reifyScript, script, {doWearNextCostume}, *]",81,0.25,0,-1.0,-1.0,-1.0
"0.14: [doIfElse, script, {doWearNextCostume}, *]",82,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.26: [sprite:userDef, script, {doWearNextCostume}, *]",83,0.2638888888888889,0.15151515151515152,-1.0,-1.0,-1.0
