name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.13: [{direction}, *]",0,0.125,0,-1.0,-1.0,-1.0
"0.75: [{evaluateCustomBlock:userDef}, *]",1,0.75,0.4478114478114478,-1.0,-1.0,-1.0
"0.42: [{getCostumeIdx}, *]",2,0.4166666666666667,0.1717171717171717,-1.0,-1.0,-1.0
"0.11: [{getScale}, *]",3,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.11: [{getTimer}, *]",4,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.58: [{literal:Stage}, *]",5,0.5833333333333334,0.3939393939393939,-1.0,-1.0,-1.0
"0.35: [{literal:all}, *]",6,0.3472222222222222,0.39057239057239057,-1.0,-1.0,-1.0
"0.36: [{literal:back}, *]",7,0.3611111111111111,0.19865319865319866,-1.0,-1.0,-1.0
"0.33: [{literal:brightness}, *]",8,0.3333333333333333,0.1414141414141414,-1.0,-1.0,-1.0
"0.24: [{literal:color}, *]",9,0.2361111111111111,0.18518518518518517,-1.0,-1.0,-1.0
"0.38: [{literal:down arrow}, *]",10,0.375,0.29292929292929293,-1.0,-1.0,-1.0
"0.67: [{literal:ghost}, *]",11,0.6666666666666666,0.30976430976430974,-1.0,-1.0,-1.0
"0.92: [{literal:left arrow}, *]",12,0.9166666666666666,0.3838383838383838,-1.0,-1.0,-1.0
"0.42: [{literal:mouse-pointer}, *]",13,0.4166666666666667,0.28619528619528617,-1.0,-1.0,-1.0
"0.92: [{literal:right arrow}, *]",14,0.9166666666666666,0.3939393939393939,-1.0,-1.0,-1.0
"0.54: [{literal:space}, *]",15,0.5416666666666666,0.37373737373737376,-1.0,-1.0,-1.0
"0.90: [{literal:up arrow}, *]",16,0.9027777777777778,0.3265993265993266,-1.0,-1.0,-1.0
"1.00: [{literal:userDef}, *]",17,1.0,0.9932659932659933,-1.0,-1.0,-1.0
"0.40: [{reportMouseDown}, *]",18,0.4027777777777778,0.13468013468013468,-1.0,-1.0,-1.0
"0.28: [{reportMouseX}, *]",19,0.2777777777777778,0.12794612794612795,-1.0,-1.0,-1.0
"0.28: [{reportMouseY}, *]",20,0.2777777777777778,0,-1.0,-1.0,-1.0
"0.60: [{script}, *]",21,0.5972222222222222,0.4444444444444444,-1.0,-1.0,-1.0
"0.94: [{var:userDef}, *]",22,0.9444444444444444,0.5791245791245792,-1.0,-1.0,-1.0
"0.99: [{varDec:userDef}, *]",23,0.9861111111111112,0.9191919191919192,-1.0,-1.0,-1.0
"0.63: [{xPosition}, *]",24,0.625,0.2255892255892256,-1.0,-1.0,-1.0
"0.68: [{yPosition}, *]",25,0.6805555555555556,0.21885521885521886,-1.0,-1.0,-1.0
"0.13: [script, {bounceOffEdge}, *]",26,0.125,0.1919191919191919,-1.0,-1.0,-1.0
"0.14: [script, {clear}, *]",27,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.25: [script, {clearEffects}, *]",28,0.25,0.17845117845117844,-1.0,-1.0,-1.0
"0.21: [script, {doResetTimer}, *]",29,0.20833333333333334,0,-1.0,-1.0,-1.0
"0.32: [script, {doStopAllSounds}, *]",30,0.3194444444444444,0.17845117845117844,-1.0,-1.0,-1.0
"0.68: [script, {doWearNextCostume}, *]",31,0.6805555555555556,0.4175084175084175,-1.0,-1.0,-1.0
"0.71: [script, {evaluateCustomBlock:userDef}, *]",32,0.7083333333333334,0.4175084175084175,-1.0,-1.0,-1.0
"0.36: [reportEquals, {getCostumeIdx}, *]",33,0.3611111111111111,0.13468013468013468,-1.0,-1.0,-1.0
"0.96: [script, {hide}, *]",34,0.9583333333333334,0.7407407407407407,-1.0,-1.0,-1.0
"0.19: [reportAttributeOf, {literal:Stage}, *]",35,0.19444444444444445,0.11784511784511785,-1.0,-1.0,-1.0
"0.22: [reportMonadic, {literal:abs}, *]",36,0.2222222222222222,0,-1.0,-1.0,-1.0
"0.29: [reportKeyPressed, {literal:down arrow}, *]",37,0.2916666666666667,0.21548821548821548,-1.0,-1.0,-1.0
"0.31: [reportTouchingObject, {literal:edge}, *]",38,0.3055555555555556,0.1919191919191919,-1.0,-1.0,-1.0
"0.83: [reportKeyPressed, {literal:left arrow}, *]",39,0.8333333333333334,0.28619528619528617,-1.0,-1.0,-1.0
"0.35: [reportTouchingObject, {literal:mouse-pointer}, *]",40,0.3472222222222222,0.17845117845117844,-1.0,-1.0,-1.0
"0.83: [reportKeyPressed, {literal:right arrow}, *]",41,0.8333333333333334,0.29292929292929293,-1.0,-1.0,-1.0
"0.43: [reportKeyPressed, {literal:space}, *]",42,0.4305555555555556,0.19865319865319866,-1.0,-1.0,-1.0
"0.81: [reportKeyPressed, {literal:up arrow}, *]",43,0.8055555555555556,0.23905723905723905,-1.0,-1.0,-1.0
"0.75: [reportProduct, {literal:userDef}, *]",44,0.75,0.24242424242424243,-1.0,-1.0,-1.0
"0.43: [reportAttributeOf, {literal:userDef}, *]",45,0.4305555555555556,0.24579124579124578,-1.0,-1.0,-1.0
"0.44: [reportDifference, {literal:userDef}, *]",46,0.4444444444444444,0.2053872053872054,-1.0,-1.0,-1.0
"0.90: [reportTouchingObject, {literal:userDef}, *]",47,0.9027777777777778,0.4983164983164983,-1.0,-1.0,-1.0
"0.58: [reportRandom, {literal:userDef}, *]",48,0.5833333333333334,0.49158249158249157,-1.0,-1.0,-1.0
"0.82: [reportLessThan, {literal:userDef}, *]",49,0.8194444444444444,0.42424242424242425,-1.0,-1.0,-1.0
"0.88: [reportEquals, {literal:userDef}, *]",50,0.875,0.4781144781144781,-1.0,-1.0,-1.0
"0.49: [reportTouchingColor, {literal:userDef}, *]",51,0.4861111111111111,0.24242424242424243,-1.0,-1.0,-1.0
"0.14: [reportOr, {literal:userDef}, *]",52,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.13: [reportListItem, {literal:userDef}, *]",53,0.125,0,-1.0,-1.0,-1.0
"0.58: [reportKeyPressed, {literal:userDef}, *]",54,0.5833333333333334,0.21548821548821548,-1.0,-1.0,-1.0
"0.38: [reportSum, {literal:userDef}, *]",55,0.375,0.16835016835016836,-1.0,-1.0,-1.0
"0.39: [reportQuotient, {literal:userDef}, *]",56,0.3888888888888889,0.14814814814814814,-1.0,-1.0,-1.0
"0.53: [script, {removeClone}, *]",57,0.5277777777777778,0.3265993265993266,-1.0,-1.0,-1.0
"0.11: [reportNot, {reportMouseDown}, *]",58,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.11: [reportOr, {reportMouseDown}, *]",59,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.32: [reportAnd, {reportMouseDown}, *]",60,0.3194444444444444,0,-1.0,-1.0,-1.0
"0.24: [reportLessThan, {reportMouseX}, *]",61,0.2361111111111111,0,-1.0,-1.0,-1.0
"0.19: [reportLessThan, {reportMouseY}, *]",62,0.19444444444444445,0,-1.0,-1.0,-1.0
"0.96: [script, {show}, *]",63,0.9583333333333334,0.7171717171717171,-1.0,-1.0,-1.0
"0.19: [reportMonadic, {var:userDef}, *]",64,0.19444444444444445,0,-1.0,-1.0,-1.0
"0.81: [reportEquals, {var:userDef}, *]",65,0.8055555555555556,0.4074074074074074,-1.0,-1.0,-1.0
"0.33: [reportDifference, {var:userDef}, *]",66,0.3333333333333333,0.12121212121212122,-1.0,-1.0,-1.0
"0.19: [reportLetter, {var:userDef}, *]",67,0.19444444444444445,0,-1.0,-1.0,-1.0
"0.15: [reportListItem, {var:userDef}, *]",68,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.33: [reportSum, {var:userDef}, *]",69,0.3333333333333333,0.10774410774410774,-1.0,-1.0,-1.0
"0.38: [reportQuotient, {var:userDef}, *]",70,0.375,0.11447811447811448,-1.0,-1.0,-1.0
"0.14: [reportStringSize, {var:userDef}, *]",71,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.86: [reportLessThan, {var:userDef}, *]",72,0.8611111111111112,0.35353535353535354,-1.0,-1.0,-1.0
"0.75: [reportProduct, {var:userDef}, *]",73,0.75,0.1919191919191919,-1.0,-1.0,-1.0
"0.50: [reportLessThan, {xPosition}, *]",74,0.5,0.12121212121212122,-1.0,-1.0,-1.0
"0.14: [reportEquals, {xPosition}, *]",75,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.14: [reportDifference, {yPosition}, *]",76,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.13: [reportEquals, {yPosition}, *]",77,0.125,0,-1.0,-1.0,-1.0
"0.51: [reportLessThan, {yPosition}, *]",78,0.5138888888888888,0.1447811447811448,-1.0,-1.0,-1.0
"0.22: [sprite:userDef, script, {clearEffects}, *]",79,0.2222222222222222,0.16161616161616163,-1.0,-1.0,-1.0
"0.13: [sprite:userDef, script, {doStopAllSounds}, *]",80,0.125,0.13468013468013468,-1.0,-1.0,-1.0
"0.13: [doIf, script, {doStopAllSounds}, *]",81,0.125,0,-1.0,-1.0,-1.0
"0.15: [doForever, script, {doWearNextCostume}, *]",82,0.1527777777777778,0.13804713804713806,-1.0,-1.0,-1.0
"0.29: [doRepeat, script, {doWearNextCostume}, *]",83,0.2916666666666667,0.1919191919191919,-1.0,-1.0,-1.0
"0.25: [reifyScript, script, {doWearNextCostume}, *]",84,0.25,0,-1.0,-1.0,-1.0
"0.13: [doIfElse, script, {doWearNextCostume}, *]",85,0.125,0,-1.0,-1.0,-1.0
"0.32: [sprite:userDef, script, {doWearNextCostume}, *]",86,0.3194444444444444,0.1447811447811448,-1.0,-1.0,-1.0
"0.13: [doIf, script, {doWearNextCostume}, *]",87,0.125,0,-1.0,-1.0,-1.0
"0.56: [sprite:userDef, script, {evaluateCustomBlock:userDef}, *]",88,0.5555555555555556,0.3400673400673401,-1.0,-1.0,-1.0
"0.14: [stage:Stage, script, {evaluateCustomBlock:userDef}, *]",89,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.11: [doRepeat, script, {evaluateCustomBlock:userDef}, *]",90,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.22: [doForever, script, {evaluateCustomBlock:userDef}, *]",91,0.2222222222222222,0,-1.0,-1.0,-1.0
"0.28: [doIf, script, {evaluateCustomBlock:userDef}, *]",92,0.2777777777777778,0,-1.0,-1.0,-1.0
"0.19: [doIfElse, script, {evaluateCustomBlock:userDef}, *]",93,0.19444444444444445,0,-1.0,-1.0,-1.0
"0.15: [doIf, reportEquals, {getCostumeIdx}, *]",94,0.1527777777777778,0.10101010101010101,-1.0,-1.0,-1.0
"0.13: [doIfElse, reportEquals, {getCostumeIdx}, *]",95,0.125,0,-1.0,-1.0,-1.0
"0.94: [sprite:userDef, script, {hide}, *]",96,0.9444444444444444,0.7070707070707071,-1.0,-1.0,-1.0
"0.53: [doIf, script, {hide}, *]",97,0.5277777777777778,0.31986531986531985,-1.0,-1.0,-1.0
"0.21: [doForever, script, {hide}, *]",98,0.20833333333333334,0.11784511784511785,-1.0,-1.0,-1.0
"0.33: [doIfElse, script, {hide}, *]",99,0.3333333333333333,0.15488215488215487,-1.0,-1.0,-1.0
"0.53: [doTellTo, reifyScript, {list}, *]",100,0.5277777777777778,0.3569023569023569,-1.0,-1.0,-1.0
"0.53: [script, doTellTo, {list}, *]",101,0.5277777777777778,0.3569023569023569,-1.0,-1.0,-1.0
"0.53: [script, doTellTo, {literal:Stage}, *]",102,0.5277777777777778,0.3569023569023569,-1.0,-1.0,-1.0
"0.13: [reportEquals, reportAttributeOf, {literal:Stage}, *]",103,0.125,0,-1.0,-1.0,-1.0
"0.17: [reportQuotient, reportMonadic, {literal:abs}, *]",104,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.14: [reportLessThan, reportMonadic, {literal:abs}, *]",105,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.17: [script, doDeleteFromList, {literal:all}, *]",106,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.22: [script, doStopThis, {literal:all}, *]",107,0.2222222222222222,0.3265993265993266,-1.0,-1.0,-1.0
"0.35: [script, goToLayer, {literal:back}, *]",108,0.3472222222222222,0.18855218855218855,-1.0,-1.0,-1.0
"0.29: [script, setEffect, {literal:brightness}, *]",109,0.2916666666666667,0.1111111111111111,-1.0,-1.0,-1.0
"0.15: [script, changeEffect, {literal:brightness}, *]",110,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.14: [script, changeEffect, {literal:color}, *]",111,0.1388888888888889,0.13468013468013468,-1.0,-1.0,-1.0
"0.13: [script, setEffect, {literal:color}, *]",112,0.125,0,-1.0,-1.0,-1.0
"0.13: [doIf, reportTouchingObject, {literal:edge}, *]",113,0.125,0,-1.0,-1.0,-1.0
"0.13: [doUntil, reportTouchingObject, {literal:edge}, *]",114,0.125,0,-1.0,-1.0,-1.0
"0.61: [script, goToLayer, {literal:front}, *]",115,0.6111111111111112,0.38047138047138046,-1.0,-1.0,-1.0
"0.54: [script, changeEffect, {literal:ghost}, *]",116,0.5416666666666666,0.2356902356902357,-1.0,-1.0,-1.0
"0.63: [script, setEffect, {literal:ghost}, *]",117,0.625,0.25252525252525254,-1.0,-1.0,-1.0
"0.46: [doIf, reportKeyPressed, {literal:left arrow}, *]",118,0.4583333333333333,0.21885521885521886,-1.0,-1.0,-1.0
