name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.59: [{evaluateCustomBlock:userDef}, *]",0,0.5941176470588235,0.47738693467336685,-1.0,-1.0,-1.0
"0.27: [{getCostumeIdx}, *]",1,0.27058823529411763,0.20100502512562815,-1.0,-1.0,-1.0
"0.10: [{getTimer}, *]",2,0.1,0,-1.0,-1.0,-1.0
"0.50: [{literal:Stage}, *]",3,0.5,0.38190954773869346,-1.0,-1.0,-1.0
"0.45: [{literal:all}, *]",4,0.4470588235294118,0.32663316582914576,-1.0,-1.0,-1.0
"0.25: [{literal:back}, *]",5,0.24705882352941178,0.21105527638190955,-1.0,-1.0,-1.0
"0.19: [{literal:brightness}, *]",6,0.18823529411764706,0.15577889447236182,-1.0,-1.0,-1.0
"0.20: [{literal:color}, *]",7,0.2,0.20603015075376885,-1.0,-1.0,-1.0
"0.54: [{literal:down arrow}, *]",8,0.5411764705882353,0.11557788944723618,-1.0,-1.0,-1.0
"0.45: [{literal:ghost}, *]",9,0.45294117647058824,0.3065326633165829,-1.0,-1.0,-1.0
"0.89: [{literal:left arrow}, *]",10,0.8941176470588236,0.15577889447236182,-1.0,-1.0,-1.0
"0.31: [{literal:mouse-pointer}, *]",11,0.3058823529411765,0.32160804020100503,-1.0,-1.0,-1.0
"0.89: [{literal:right arrow}, *]",12,0.8941176470588236,0.1658291457286432,-1.0,-1.0,-1.0
"0.52: [{literal:space}, *]",13,0.5235294117647059,0.3316582914572864,-1.0,-1.0,-1.0
"0.80: [{literal:up arrow}, *]",14,0.8,0.1407035175879397,-1.0,-1.0,-1.0
"1.00: [{literal:userDef}, *]",15,1.0,0.9949748743718593,-1.0,-1.0,-1.0
"0.21: [{reportMouseDown}, *]",16,0.20588235294117646,0.1708542713567839,-1.0,-1.0,-1.0
"0.14: [{reportMouseX}, *]",17,0.1411764705882353,0.15577889447236182,-1.0,-1.0,-1.0
"0.13: [{reportMouseY}, *]",18,0.12941176470588237,0.11557788944723618,-1.0,-1.0,-1.0
"0.51: [{script}, *]",19,0.5117647058823529,0.49748743718592964,-1.0,-1.0,-1.0
"0.76: [{var:userDef}, *]",20,0.7647058823529411,0.5276381909547738,-1.0,-1.0,-1.0
"0.97: [{varDec:userDef}, *]",21,0.9705882352941176,0.9045226130653267,-1.0,-1.0,-1.0
"0.87: [{varMenu:userDef}, *]",22,0.8705882352941177,0.6180904522613065,-1.0,-1.0,-1.0
"0.42: [{xPosition}, *]",23,0.4235294117647059,0.21105527638190955,-1.0,-1.0,-1.0
"0.44: [{yPosition}, *]",24,0.43529411764705883,0.20100502512562815,-1.0,-1.0,-1.0
"0.14: [script, {bounceOffEdge}, *]",25,0.1411764705882353,0.17587939698492464,-1.0,-1.0,-1.0
"0.16: [script, {clearEffects}, *]",26,0.16470588235294117,0.20603015075376885,-1.0,-1.0,-1.0
"0.15: [script, {doResetTimer}, *]",27,0.15294117647058825,0,-1.0,-1.0,-1.0
"0.23: [script, {doStopAllSounds}, *]",28,0.22941176470588234,0.19095477386934673,-1.0,-1.0,-1.0
"0.48: [script, {doWearNextCostume}, *]",29,0.4764705882352941,0.4472361809045226,-1.0,-1.0,-1.0
"0.57: [script, {evaluateCustomBlock:userDef}, *]",30,0.5705882352941176,0.4371859296482412,-1.0,-1.0,-1.0
