name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.19: [{direction}, *]",0,0.19047619047619047,0,-1.0,-1.0,-1.0
"0.48: [{evaluateCustomBlock:userDef}, *]",1,0.47619047619047616,0.5229357798165137,-1.0,-1.0,-1.0
"0.19: [{getCostumeIdx}, *]",2,0.19047619047619047,0.2324159021406728,-1.0,-1.0,-1.0
"0.14: [{getTimer}, *]",3,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.31: [{literal:Stage}, *]",4,0.30952380952380953,0.4617737003058104,-1.0,-1.0,-1.0
"0.48: [{literal:all}, *]",5,0.47619047619047616,0.36085626911314983,-1.0,-1.0,-1.0
"0.19: [{literal:back}, *]",6,0.19047619047619047,0.23853211009174313,-1.0,-1.0,-1.0
"0.31: [{literal:color}, *]",7,0.30952380952380953,0.19877675840978593,-1.0,-1.0,-1.0
"0.43: [{literal:ghost}, *]",8,0.42857142857142855,0.38837920489296635,-1.0,-1.0,-1.0
"0.14: [{literal:left arrow}, *]",9,0.14285714285714285,0.5321100917431193,-1.0,-1.0,-1.0
"0.71: [{literal:mouse-pointer}, *]",10,0.7142857142857143,0.26299694189602446,-1.0,-1.0,-1.0
"0.55: [{literal:myself}, *]",11,0.5476190476190477,0.3730886850152905,-1.0,-1.0,-1.0
"0.14: [{literal:right arrow}, *]",12,0.14285714285714285,0.5382262996941896,-1.0,-1.0,-1.0
"0.38: [{literal:space}, *]",13,0.38095238095238093,0.41896024464831805,-1.0,-1.0,-1.0
"0.14: [{literal:up arrow}, *]",14,0.14285714285714285,0.4801223241590214,-1.0,-1.0,-1.0
"1.00: [{literal:userDef}, *]",15,1.0,0.9938837920489296,-1.0,-1.0,-1.0
"0.26: [{reportMouseDown}, *]",16,0.2619047619047619,0.1834862385321101,-1.0,-1.0,-1.0
"0.43: [{reportMouseX}, *]",17,0.42857142857142855,0.12232415902140673,-1.0,-1.0,-1.0
"0.24: [{reportMouseY}, *]",18,0.23809523809523808,0.11009174311926606,-1.0,-1.0,-1.0
"0.50: [{script}, *]",19,0.5,0.4954128440366973,-1.0,-1.0,-1.0
"0.64: [{var:userDef}, *]",20,0.6428571428571429,0.6636085626911316,-1.0,-1.0,-1.0
"0.26: [{xPosition}, *]",21,0.2619047619047619,0.3241590214067278,-1.0,-1.0,-1.0
"0.24: [{yPosition}, *]",22,0.23809523809523808,0.3333333333333333,-1.0,-1.0,-1.0
"0.17: [script, {clear}, *]",23,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.21: [script, {clearEffects}, *]",24,0.21428571428571427,0.2018348623853211,-1.0,-1.0,-1.0
"0.14: [script, {doStopAllSounds}, *]",25,0.14285714285714285,0.22018348623853212,-1.0,-1.0,-1.0
"0.26: [script, {doWearNextCostume}, *]",26,0.2619047619047619,0.5137614678899083,-1.0,-1.0,-1.0
"0.45: [script, {evaluateCustomBlock:userDef}, *]",27,0.4523809523809524,0.4954128440366973,-1.0,-1.0,-1.0
"0.14: [reportEquals, {getCostumeIdx}, *]",28,0.14285714285714285,0.18960244648318042,-1.0,-1.0,-1.0
"0.67: [script, {hide}, *]",29,0.6666666666666666,0.8073394495412844,-1.0,-1.0,-1.0
"0.17: [reportMonadic, {literal:abs}, *]",30,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.17: [reportTouchingObject, {literal:edge}, *]",31,0.16666666666666666,0.22324159021406728,-1.0,-1.0,-1.0
"0.12: [reportMonadic, {literal:floor}, *]",32,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.29: [reportTouchingObject, {literal:mouse-pointer}, *]",33,0.2857142857142857,0.20795107033639143,-1.0,-1.0,-1.0
"0.19: [reportKeyPressed, {literal:space}, *]",34,0.19047619047619047,0.2415902140672783,-1.0,-1.0,-1.0
"0.14: [reportMonadic, {literal:sqrt}, *]",35,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.12: [reportKeyPressed, {literal:up arrow}, *]",36,0.11904761904761904,0.3853211009174312,-1.0,-1.0,-1.0
"0.31: [reportTouchingColor, {literal:userDef}, *]",37,0.30952380952380953,0.2782874617737003,-1.0,-1.0,-1.0
"0.31: [reportProduct, {literal:userDef}, *]",38,0.30952380952380953,0.3547400611620795,-1.0,-1.0,-1.0
"0.24: [reportAttributeOf, {literal:userDef}, *]",39,0.23809523809523808,0.29357798165137616,-1.0,-1.0,-1.0
"0.31: [reportDifference, {literal:userDef}, *]",40,0.30952380952380953,0.25382262996941896,-1.0,-1.0,-1.0
"0.14: [reportListItem, {literal:userDef}, *]",41,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.12: [reportModulus, {literal:userDef}, *]",42,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.12: [reportKeyPressed, {literal:userDef}, *]",43,0.11904761904761904,0.3058103975535168,-1.0,-1.0,-1.0
"0.74: [reportTouchingObject, {literal:userDef}, *]",44,0.7380952380952381,0.5504587155963303,-1.0,-1.0,-1.0
"0.21: [reportSum, {literal:userDef}, *]",45,0.21428571428571427,0.21100917431192662,-1.0,-1.0,-1.0
"0.64: [reportRandom, {literal:userDef}, *]",46,0.6428571428571429,0.4923547400611621,-1.0,-1.0,-1.0
"0.45: [reportLessThan, {literal:userDef}, *]",47,0.4523809523809524,0.5229357798165137,-1.0,-1.0,-1.0
"0.48: [reportEquals, {literal:userDef}, *]",48,0.47619047619047616,0.5840978593272171,-1.0,-1.0,-1.0
"0.33: [reportQuotient, {literal:userDef}, *]",49,0.3333333333333333,0.1834862385321101,-1.0,-1.0,-1.0
"1.00: [script, {receiveGo}, *]",50,1.0,0.9755351681957186,-1.0,-1.0,-1.0
"0.52: [script, {removeClone}, *]",51,0.5238095238095238,0.36085626911314983,-1.0,-1.0,-1.0
"0.14: [reportAnd, {reportMouseDown}, *]",52,0.14285714285714285,0.1345565749235474,-1.0,-1.0,-1.0
"0.12: [reportListContainsItem, {var:userDef}, *]",53,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.17: [reportListItem, {var:userDef}, *]",54,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.17: [reportSum, {var:userDef}, *]",55,0.16666666666666666,0.1559633027522936,-1.0,-1.0,-1.0
"0.14: [reportMonadic, {var:userDef}, *]",56,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.14: [reportListLength, {var:userDef}, *]",57,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.45: [reportEquals, {var:userDef}, *]",58,0.4523809523809524,0.4923547400611621,-1.0,-1.0,-1.0
"0.12: [reportModulus, {var:userDef}, *]",59,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.19: [reportDifference, {var:userDef}, *]",60,0.19047619047619047,0.1651376146788991,-1.0,-1.0,-1.0
"0.21: [reportQuotient, {var:userDef}, *]",61,0.21428571428571427,0.1559633027522936,-1.0,-1.0,-1.0
"0.14: [reportStringSize, {var:userDef}, *]",62,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.45: [reportLessThan, {var:userDef}, *]",63,0.4523809523809524,0.4648318042813456,-1.0,-1.0,-1.0
"0.17: [reportLetter, {var:userDef}, *]",64,0.16666666666666666,0.10091743119266056,-1.0,-1.0,-1.0
"0.29: [reportProduct, {var:userDef}, *]",65,0.2857142857142857,0.308868501529052,-1.0,-1.0,-1.0
"0.14: [reportDifference, {xPosition}, *]",66,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.17: [reportLessThan, {yPosition}, *]",67,0.16666666666666666,0.22935779816513763,-1.0,-1.0,-1.0
"0.19: [sprite:userDef, script, {clearEffects}, *]",68,0.19047619047619047,0.1834862385321101,-1.0,-1.0,-1.0
"0.12: [sprite:userDef, script, {doResetTimer}, *]",69,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.12: [doForever, script, {doWearNextCostume}, *]",70,0.11904761904761904,0.14067278287461774,-1.0,-1.0,-1.0
"0.33: [sprite:userDef, script, {evaluateCustomBlock:userDef}, *]",71,0.3333333333333333,0.40978593272171254,-1.0,-1.0,-1.0
"0.12: [doRepeat, script, {evaluateCustomBlock:userDef}, *]",72,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.17: [doIf, script, {evaluateCustomBlock:userDef}, *]",73,0.16666666666666666,0.10397553516819572,-1.0,-1.0,-1.0
"0.12: [doWarp, script, {evaluateCustomBlock:userDef}, *]",74,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.12: [doIfElse, script, {evaluateCustomBlock:userDef}, *]",75,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.14: [doForever, script, {evaluateCustomBlock:userDef}, *]",76,0.14285714285714285,0.11009174311926606,-1.0,-1.0,-1.0
"0.64: [sprite:userDef, script, {hide}, *]",77,0.6428571428571429,0.7675840978593272,-1.0,-1.0,-1.0
"0.29: [doIf, script, {hide}, *]",78,0.2857142857142857,0.37920489296636084,-1.0,-1.0,-1.0
"0.24: [doIfElse, script, {hide}, *]",79,0.23809523809523808,0.1834862385321101,-1.0,-1.0,-1.0
"0.29: [script, doTellTo, {list}, *]",80,0.2857142857142857,0.42201834862385323,-1.0,-1.0,-1.0
"0.29: [doTellTo, reifyScript, {list}, *]",81,0.2857142857142857,0.42201834862385323,-1.0,-1.0,-1.0
"0.29: [script, doTellTo, {literal:Stage}, *]",82,0.2857142857142857,0.42201834862385323,-1.0,-1.0,-1.0
"0.14: [reportLessThan, reportMonadic, {literal:abs}, *]",83,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.33: [script, doStopThis, {literal:all}, *]",84,0.3333333333333333,0.2782874617737003,-1.0,-1.0,-1.0
