PQGram,Count
stage:userDef|sprite:userDef|{script}|doSetVar|doWait|doSetVar|doWait,5
sprite:userDef|script|{doChangeVar}|literal:userDef,8
"{script}|hide",1
sprite:userDef|script|{doWait}|literal:userDef|*|*|*,64
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
"{doWait}|literal:userDef|*|*|*",39
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef|literal:userDef,27
sprite:userDef|{script}|doWait,65
script|{doSetVar}|literal:userDef,40
script|{doRepeat}|literal:userDef|script|*,1
script|{doSetVar}|literal:userDef,50
script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,17
sprite:userDef|{script}|doWait,75
"{doWait}|literal:userDef",74
script|{doChangeVar}|*|*|*|varMenu:userDef,4
"{doWait}|*|*|*|literal:userDef",10
"{script}|doSetVar",44
doTellTo|{reifyScript}|*|*|list|script,1
script|{hide}|*|*|*,1
sprite:userDef|{script}|doChangeVar|doWait,3
script|{doSetVar}|*|varMenu:userDef|literal:userDef,37
script|{doSetVar}|literal:userDef,30
"{script}|doSetVar|doWait|doSetVar",3
script|{doWait}|literal:userDef|*|*,71
sprite:userDef|script|{doWait}|*|*|*|literal:userDef,51
script|{doSetVar}|*|*|varMenu:userDef|literal:userDef,40
"{doWait}|*|*|literal:userDef|*",28
sprite:userDef|script|{doForever}|*|script,1
reifyScript|script|{doSwitchToCostume}|literal:userDef|*,1
sprite:userDef|{script}|*|*|receiveGo,2
stage:userDef|sprite:userDef|{script}|doWait|doSetVar|doWait|doSetVar,42
script|doRepeat|{script}|doChangeVar|doWait|*|*,1
sprite:userDef|{script}|doSetVar|doWait,59
sprite:userDef|script|{doTellTo}|reifyScript|list|*|*,1
sprite:userDef|script|{doTellTo}|*|*|literal:userDef|reifyScript,2
script|{doWait}|literal:userDef|*|*|*,40
"{sprite:userDef}|script|script",5
"{doWait}|*|literal:userDef|*|*",43
stage:userDef|sprite:userDef|{script}|doSetVar|doWait|doSetVar,17
sprite:userDef|script|{doSetVar}|literal:userDef|*,44
"{script}|doWait",52
sprite:userDef|script|{doSetVar}|varMenu:userDef,5
sprite:userDef|{script}|doWait|doSetVar|doWait,47
stage:userDef|sprite:userDef|{script}|doWait|doSetVar|doWait|doSetVar,5
snapshot|customBlock:userDef|{script}|*|*|*|*,1
script|{doSetVar}|*|*|varMenu:userDef,55
script|{doWait}|*|*|*|literal:userDef,44
sprite:userDef|{script}|doSetVar|doWait,18
script|{doSetVar}|literal:userDef|*|*,24
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",49
script|{doWait}|literal:userDef|*|*|*,63
stage:userDef|sprite:userDef|{script}|doSetVar|doWait|doSetVar|doWait,42
script|{doWait}|*|*|literal:userDef|*,48
script|{doWait}|*|literal:userDef|*,9
"{doSetVar}|literal:userDef",53
sprite:userDef|{script}|doSetVar|doWait|doSetVar|doWait,50
"{script}|doWait|doSetVar|doWait",44
stage:userDef|sprite:userDef|{script}|doWait|doSetVar|doWait,40
script|{doChangeVar}|literal:userDef|*|*,11
"{doWait}|literal:userDef|*|*",24
doForever|{script}|doRepeat|doSetVar,1
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,11
sprite:userDef|script|{doWait}|*|literal:userDef|*|*,45
script|{doSetVar}|literal:userDef,60
"{doChangeVar}|literal:userDef|*",3
stage:userDef|sprite:userDef|{script}|doSetVar|*|*|*,2
script|{doSetVar}|*|*|varMenu:userDef|literal:userDef,17
"{script}|*|*|*|receiveGo",5
script|{doChangeVar}|*|varMenu:userDef|literal:userDef|*,12
script|{doSetVar}|literal:userDef|*,23
"{script}|doSetVar|doWait|doSetVar|doWait",26
stage:userDef|sprite:userDef|{script}|*|evaluateCustomBlock:userDef|show|*,1
sprite:userDef|{script}|doWait,5
sprite:userDef|script|{doSetVar}|varMenu:userDef,46
sprite:userDef|{script}|doWait,15
script|{doWait}|literal:userDef|*|*,21
script|{doWait}|*|*|*|literal:userDef,21
stage:userDef|{sprite:userDef}|script|script|script|*,3
"*|{snapshot}|varDec:userDef|*|*",1
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef,15
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,27
"{doWait}|*|literal:userDef|*",25
stage:userDef|sprite:userDef|{script}|doSetVar|doWait,23
"{doSwitchToCostume}|literal:userDef|*|*|*",2
"{script}|doSetVar|doWait|doSetVar",44
sprite:userDef|{script}|doWait,25
stage:userDef|sprite:userDef|{script}|doSetVar|doWait|doSetVar,40
"{doChangeVar}|literal:userDef|*",13
"{doForever}|*|script|*|*",1
"{script}|doSetVar|doWait",5
"{script}|*|*|evaluateCustomBlock:userDef",1
script|{doChangeVar}|literal:userDef|*,13
"{script}|doWait|doSetVar|doWait",3
"{doSetVar}|*|*|varMenu:userDef|literal:userDef",39
"{doIf}|script|*|*",1
"{sprite:userDef}|*|script",1
doTellTo|reifyScript|{script}|*|doSwitchToCostume|*|*,2
script|doForever|{script}|doRepeat|doSetVar,1
sprite:userDef|{script}|doWait|doSetVar|doWait|doSetVar,50
"{sprite:userDef}|script|script|*|*",3
sprite:userDef|script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,35
stage:userDef|sprite:userDef|{script}|doChangeVar|doWait|doChangeVar,7
script|{doWait}|*|literal:userDef|*|*,20
sprite:userDef|{script}|doWait,35
stage:userDef|sprite:userDef|{script}|doWait|doSetVar,37
sprite:userDef|{script}|doWait,45
"{script}|doSetVar|doWait",15
"{doWait}|*|*|literal:userDef",57
script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,52
"{changeYPosition}|*|literal:userDef",2
script|{hide}|*|*,1
"{reifyScript}|list",1
sprite:userDef|script|{doWait}|*|literal:userDef,40
script|{doSetVar}|*|*|*|varMenu:userDef,44
sprite:userDef|script|{doWait}|*|literal:userDef|*,18
doTellTo|{reifyScript}|*|list|script|*,2
sprite:userDef|script|{doSetVar}|literal:userDef|*|*,45
sprite:userDef|{script}|doWait|doSetVar,10
script|{doSetVar}|literal:userDef|*|*|*,16
sprite:userDef|script|{doWait}|*|*|literal:userDef,14
script|{doWait}|literal:userDef|*,5
sprite:userDef|script|{doChangeVar}|*|*|*|varMenu:userDef,13
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,75
"{script}|doSetVar|doWait",35
stage:userDef|{sprite:userDef}|script,1
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef,22
"{snapshot}|stage:userDef|customBlock:userDef|customBlock:userDef|varDec:userDef",1
sprite:userDef|script|{doWait}|literal:userDef|*,58
snapshot|{customBlock:userDef}|script|*,2
script|{doRepeat}|*|*|literal:userDef,1
stage:userDef|sprite:userDef|{script}|doChangeVar,2
doSetVar|{varMenu:userDef}|*,1
stage:userDef|sprite:userDef|{script}|forward,2
stage:userDef|sprite:userDef|{script}|changeYPosition|doWait|changeYPosition,1
script|{doWait}|*|literal:userDef,47
"{doSetVar}|literal:userDef|*|*|*",22
sprite:userDef|script|{doWait}|literal:userDef|*,8
stage:userDef|{sprite:userDef}|script,11
script|{receiveInteraction}|*|*|literal:userDef,1
"{customBlock:userDef}|*|script",2
sprite:userDef|{script}|doWait,55
"{doSetVar}|varMenu:userDef|literal:userDef|*|*",39
"{script}|receiveGo|doForever",1
sprite:userDef|script|{doSetVar}|literal:userDef,23
"{script}|doWait|doSetVar|doWait|doSetVar",26
"{doWait}|literal:userDef",17
stage:userDef|sprite:userDef|{script}|doWait,67
"{doSetVar}|literal:userDef|*|*",24
"{script}|doSetVar|doWait",25
stage:userDef|script|{doIf}|script,1
script|{doChangeVar}|literal:userDef|*|*,8
sprite:userDef|{script}|doWait|doSetVar,41
sprite:userDef|{script}|doChangeVar|doWait|doChangeVar|doWait,4
stage:userDef|sprite:userDef|{script}|*|receiveGo,3
"{doChangeVar}|*|varMenu:userDef|literal:userDef|*",4
sprite:userDef|script|{doWait}|*|literal:userDef,43
sprite:userDef|script|{doWait}|*|literal:userDef|*,73
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef,38
sprite:userDef|{script}|doSetVar|doWait|doSetVar|*,2
script|{doWait}|*|literal:userDef|*|*,66
"{doWait}|*|literal:userDef|*|*",40
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,54
"{doWait}|literal:userDef|*|*",14
script|{doSetVar}|literal:userDef|*,33
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef|*,23
"{doSetVar}|*|*|varMenu:userDef|literal:userDef",42
sprite:userDef|script|{receiveKey}|literal:userDef|*|*|*,1
sprite:userDef|{script}|*|receiveKey|forward,1
stage:userDef|sprite:userDef|{script}|doWait,16
sprite:userDef|script|{doWait}|literal:userDef|*,61
"{script}|receiveKey|forward",2
script|{doSetVar}|*|*|*|varMenu:userDef,21
script|{doSetVar}|*|*|varMenu:userDef,58
script|{doWait}|*|*|*|literal:userDef,67
"{script}|doWait|doSetVar|*|*",2
"{script}|doWait",51
sprite:userDef|script|{doSetVar}|*|varMenu:userDef|literal:userDef,43
sprite:userDef|{script}|doWait|doSetVar|doWait,44
sprite:userDef|script|{receiveInteraction}|literal:userDef|*,2
"{script}|doSetVar",43
script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,6
"{doChangeVar}|literal:userDef|*|*",8
sprite:userDef|script|{doWait}|literal:userDef|*|*,13
sprite:userDef|{script}|*|*|receiveGo,5
"{doWait}|literal:userDef|*|*|*",42
"{script}|doSetVar|doWait|doChangeVar",1
"*|*|{snapshot}|*|*|stage:userDef|customBlock:userDef",1
sprite:userDef|script|{doSetVar}|literal:userDef,13
"{doWait}|literal:userDef|*",7
"{doSetVar}|literal:userDef",54
sprite:userDef|script|{doSetVar}|*|*|*|varMenu:userDef,61
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",2
stage:userDef|sprite:userDef|{script}|doWait|doSetVar|doWait,17
"{snapshot}|varDec:userDef|varDec:userDef",4
script|{doSetVar}|literal:userDef|*|*,27
script|{doSetVar}|*|varMenu:userDef,6
"{script}|*|*|*|receiveGo",2
"{doWait}|literal:userDef|*",17
"{doSetVar}|*|*|*|varMenu:userDef",60
sprite:userDef|script|{doSetVar}|literal:userDef|*|*|*,58
"{doSetVar}|*|*|varMenu:userDef",8
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,1
script|{doSetVar}|*|*|varMenu:userDef,5
doTellTo|{literal:userDef}|*|*,1
"{doSetVar}|*|*|*|varMenu:userDef",7
sprite:userDef|script|{doWait}|*|*|*|literal:userDef,24
stage:userDef|sprite:userDef|{script}|doWait,57
script|{doSetVar}|varMenu:userDef|literal:userDef|*,47
script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,63
"{doSetVar}|varMenu:userDef|literal:userDef|*",26
stage:userDef|sprite:userDef|{script}|doWait|doChangeVar|doWait|doChangeVar,9
script|{doWait}|*|literal:userDef,37
script|{doSetVar}|*|varMenu:userDef|literal:userDef,40
script|{doWait}|literal:userDef|*|*,68
"{doWait}|literal:userDef|*",27
script|{doSetVar}|literal:userDef|*|*|*,62
sprite:userDef|script|{doSetVar}|varMenu:userDef,56
script|{doWait}|literal:userDef|*,15
sprite:userDef|script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,62
"{script}|doSetVar|doWait|doSetVar|doWait",23
stage:userDef|sprite:userDef|{script}|doTellTo|*|*|*,1
sprite:userDef|script|{doWait}|*|*|*|literal:userDef,14
sprite:userDef|script|{doWait}|literal:userDef|*,11
script|{receiveKey}|literal:userDef|*,3
script|{doWait}|*|*|literal:userDef|*,71
stage:userDef|{sprite:userDef}|*|*|script|script,3
sprite:userDef|script|{doWait}|literal:userDef|*|*,68
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef,47
stage:userDef|sprite:userDef|{script}|doSetVar,35
"{doSetVar}|*|*|*|varMenu:userDef",57
sprite:userDef|script|{doSetVar}|*|*|*|varMenu:userDef,51
"{script}|doWait|doSetVar|doWait|doSetVar",23
script|{receiveKey}|*|literal:userDef|*,3
script|{doWait}|literal:userDef|*,56
script|{doWait}|*|literal:userDef|*|*,75
"{doSetVar}|*|*|*|varMenu:userDef",10
snapshot|stage:userDef|{sprite:userDef}|script|script|*,1
"*|snapshot|{stage:userDef}|sprite:userDef|sprite:userDef",1
"{doWait}|literal:userDef",16
"{doSetVar}|*|varMenu:userDef|literal:userDef",40
sprite:userDef|script|{doWait}|*|literal:userDef|*|*,72
script|{doWait}|*|*|literal:userDef|*,2
stage:userDef|sprite:userDef|{script}|doWait|doSetVar,34
"{script}|doWait|doChangeVar|doWait|doChangeVar",3
"{doChangeVar}|varMenu:userDef|literal:userDef|*",10
stage:userDef|sprite:userDef|{script}|evaluateCustomBlock:userDef|hide|*,2
"{script}|*|evaluateCustomBlock:userDef|hide",2
"{customBlock:userDef}|*|*|script",2
script|{doSetVar}|*|*|varMenu:userDef,8
sprite:userDef|script|{doWait}|literal:userDef,68
sprite:userDef|{script}|hide,2
"{doWait}|*|*|literal:userDef",16
script|{doSetVar}|*|varMenu:userDef,47
"{doSetVar}|*|*|varMenu:userDef",49
"{doWait}|literal:userDef|*|*",65
"{doWait}|literal:userDef",73
script|doTellTo|{list}|*,1
doSetVar|{literal:userDef}|*,1
"{receiveInteraction}|*|*|literal:userDef",2
stage:userDef|{sprite:userDef}|*|*|script,2
sprite:userDef|script|{doChangeVar}|*|varMenu:userDef|literal:userDef,13
"{script}|doChangeVar|*",2
script|{doSetVar}|varMenu:userDef|literal:userDef,38
sprite:userDef|script|{doChangeVar}|literal:userDef|*|*|*,10
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef,19
stage:userDef|{sprite:userDef}|script|script,6
script|{doWait}|literal:userDef|*|*|*,17
"{script}|*|*|receiveKey|forward",1
sprite:userDef|{script}|doSetVar|doWait,8
"{doSetVar}|varMenu:userDef",10
sprite:userDef|script|{doWait}|*|*|literal:userDef,69
stage:userDef|sprite:userDef|{script}|doSetVar|doWait,26
"{customBlock:userDef}|script",2
sprite:userDef|{script}|receiveInteraction|doTellTo|*,2
"{reifyScript}|list",2
doForever|{script}|doRepeat,1
sprite:userDef|script|{doWait}|literal:userDef,6
sprite:userDef|script|{changeYPosition}|*|*|*|literal:userDef,2
script|{doSetVar}|*|varMenu:userDef,57
"{doSetVar}|*|*|varMenu:userDef",59
"{snapshot}|stage:userDef",1
sprite:userDef|script|{doChangeVar}|*|*|*|varMenu:userDef,3
script|doSetVar|{varMenu:userDef}|*|*|*,1
"{doWait}|*|*|literal:userDef",26
"{doWait}|literal:userDef|*|*",34
script|{doSetVar}|*|*|varMenu:userDef,11
script|{doTellTo}|literal:userDef|reifyScript|list|*,1
"{doSetVar}|varMenu:userDef|literal:userDef",38
sprite:userDef|script|{doTellTo}|list|*|*|*,2
script|{doSetVar}|varMenu:userDef,24
"{doSetVar}|varMenu:userDef|literal:userDef",28
script|doTellTo|{reifyScript}|*|*|list|script,1
stage:userDef|sprite:userDef|{script}|doWait|doChangeVar,14
"*|{snapshot}|varDec:userDef|varDec:userDef|varDec:userDef|varDec:userDef",1
script|{doSetVar}|varMenu:userDef,14
script|{doSetVar}|varMenu:userDef|literal:userDef|*,41
"{doWait}|*|literal:userDef|*",35
"{script}|doWait|doChangeVar",5
"{stage:userDef}|sprite:userDef",2
"{doSetVar}|*|*|*|varMenu:userDef",63
sprite:userDef|script|{doWait}|*|*|literal:userDef,60
"{script}|doSetVar|doWait|doSetVar",34
script|{doChangeVar}|literal:userDef|*,3
script|{doSetVar}|varMenu:userDef,4
"{doSetVar}|varMenu:userDef|literal:userDef|*|*",36
"{doSetVar}|varMenu:userDef|literal:userDef",18
"{doSetVar}|varMenu:userDef",8
"{script}|doSetVar|doWait|doSetVar|doWait",20
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef|literal:userDef,17
script|{doSetVar}|*|varMenu:userDef,16
sprite:userDef|{script}|*|receiveKey|changeYPosition|doWait,1
script|{doWait}|*|*|literal:userDef,44
"{doSetVar}|*|*|varMenu:userDef",18
"{script}|doWait|doSetVar|doWait|doSetVar",29
script|{doWait}|*|*|literal:userDef|*,16
stage:userDef|script|{doIf}|*|*|literal:userDef,1
"{doWait}|literal:userDef|*|*",75
sprite:userDef|script|{doWait}|*|literal:userDef|*|*,35
stage:userDef|sprite:userDef|{script}|doSetVar|doWait,17
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef,28
script|{doSetVar}|varMenu:userDef,44
"{doSetVar}|varMenu:userDef|literal:userDef|*|*",45
script|{doWait}|*|literal:userDef|*|*,11
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,21
snapshot|stage:userDef|{sprite:userDef}|script|script,6
sprite:userDef|script|{doWait}|literal:userDef|*,14
stage:userDef|sprite:userDef|{script}|doWait|doSetVar,43
"{doSetVar}|varMenu:userDef|literal:userDef",8
sprite:userDef|script|{doWait}|literal:userDef|*|*|*,17
script|{doWait}|*|*|*|literal:userDef,76
"{script}|*|*|receiveGo|doSetVar",2
stage:userDef|sprite:userDef|{script}|changeYPosition|doWait|changeYPosition|*,1
sprite:userDef|script|{doSetVar}|*|varMenu:userDef|literal:userDef,20
stage:userDef|sprite:userDef|{script}|doSetVar|doWait|doSetVar,49
doForever|script|{doRepeat}|script,1
stage:userDef|{sprite:userDef}|*|*|*|script,2
stage:userDef|sprite:userDef|{script}|doSetVar|doWait|doSetVar|doWait,52
stage:userDef|sprite:userDef|{script}|doChangeVar,12
"{doSetVar}|varMenu:userDef|literal:userDef|*",46
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,37
sprite:userDef|script|{doSetVar}|literal:userDef,33
"{script}|doSetVar",42
stage:userDef|sprite:userDef|{script}|receiveKey|forward,2
sprite:userDef|script|{doSetVar}|*|*|*|varMenu:userDef,41
"{doSetVar}|*|varMenu:userDef|literal:userDef",50
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef|*,32
"{snapshot}|customBlock:userDef|customBlock:userDef|varDec:userDef",1
script|{doSetVar}|varMenu:userDef|literal:userDef,48
"{script}|doWait|doSetVar|doWait",13
"{doWait}|*|*|literal:userDef",67
script|{doSetVar}|literal:userDef|*|*|*,7
"{script}|doIf",1
sprite:userDef|script|{doWait}|*|*|literal:userDef,23
sprite:userDef|script|{doWait}|literal:userDef|*,64
"{doChangeVar}|*|*|varMenu:userDef",2
"*|*|{snapshot}|varDec:userDef",2
"{doWait}|*|*|*|literal:userDef",54
sprite:userDef|{script}|show,2
"{script}|doWait|doChangeVar|doWait|doChangeVar",6
script|{doSetVar}|varMenu:userDef,34
stage:userDef|sprite:userDef|{script}|doWait|doChangeVar|doWait,1
"{script}|doWait|doSetVar",9
stage:userDef|sprite:userDef|{script}|doSetVar,55
"{doWait}|literal:userDef|*",37
script|{forward}|*|*|literal:userDef,2
snapshot|{customBlock:userDef}|script,2
"{doSetVar}|literal:userDef",52
script|{doChangeVar}|varMenu:userDef,6
"{doWait}|literal:userDef|*",47
"{script}|*|receiveInteraction|doTellTo|*",2
"{script}|*|evaluateCustomBlock:userDef|show|*",2
"{script}|*|receiveKey|changeYPosition",1
sprite:userDef|script|{doWait}|*|literal:userDef|*,50
stage:userDef|sprite:userDef|{script}|doWait,6
stage:userDef|sprite:userDef|{script}|*|*|*|evaluateCustomBlock:userDef,3
"{doForever}|script",1
doTellTo|{reifyScript}|script|*|*|*,2
sprite:userDef|{script}|doSetVar|doWait|doSetVar|doWait,4
sprite:userDef|script|{doWait}|literal:userDef|*|*|*,37
sprite:userDef|{script}|doWait|doSetVar|doWait,3
sprite:userDef|{script}|doSetVar|doWait,28
sprite:userDef|{script}|receiveGo,5
script|{doWait}|*|*|*|literal:userDef,53
"{doWait}|literal:userDef|*",57
sprite:userDef|{script}|*|*|doWait|*,1
"{script}|doChangeVar|doWait|doChangeVar",11
stage:userDef|sprite:userDef|{script}|doSetVar,14
"{doWait}|literal:userDef",15
script|{doWait}|*|*|literal:userDef,35
sprite:userDef|{script}|evaluateCustomBlock:userDef|hide,1
script|{doChangeVar}|varMenu:userDef|literal:userDef,8
"{doSetVar}|*|*|*|varMenu:userDef",13
"{doWait}|*|*|*|literal:userDef",13
sprite:userDef|{script}|doSetVar|doWait|doSetVar|doWait,41
script|{doSetVar}|*|varMenu:userDef|literal:userDef,31
script|{doChangeVar}|*|*|varMenu:userDef|literal:userDef,9
"{doWait}|literal:userDef|*",67
sprite:userDef|{script}|doWait|doChangeVar|doWait|doChangeVar,8
"{doChangeVar}|*|*|*|varMenu:userDef",12
sprite:userDef|script|{doSetVar}|varMenu:userDef,15
"{doWait}|literal:userDef|*|*|*",36
"{doSetVar}|varMenu:userDef|literal:userDef",58
stage:userDef|sprite:userDef|{script}|doSetVar|doWait|doSetVar,8
"{doWait}|*|*|*|literal:userDef",63
script|{doWait}|literal:userDef|*|*|*,72
"{doSetVar}|varMenu:userDef|literal:userDef",48
"{doWait}|literal:userDef",72
"{script}|hide",2
script|{doWait}|literal:userDef|*,36
"{script}|receiveGo|doSetVar|doWait",3
sprite:userDef|script|{forward}|*|literal:userDef,1
"{receiveInteraction}|*|literal:userDef",1
script|{doSetVar}|*|*|*|varMenu:userDef,12
script|{doChangeVar}|varMenu:userDef|literal:userDef|*|*,9
sprite:userDef|script|{doWait}|literal:userDef|*|*|*,74
doChangeVar|{literal:userDef}|*,1
script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,49
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef,61
script|{doSetVar}|*|*|varMenu:userDef,61
stage:userDef|sprite:userDef|{script}|doSetVar,45
"{doSetVar}|*|*|varMenu:userDef|literal:userDef",33
"{doSetVar}|literal:userDef|*",13
stage:userDef|sprite:userDef|{script}|doTellTo|*|*,2
"{doSetVar}|varMenu:userDef",9
sprite:userDef|script|{doWait}|literal:userDef,58
"{doIf}|script",1
sprite:userDef|script|{doSetVar}|*|*|*|varMenu:userDef,14
"{script}|doSetVar|doWait",45
stage:userDef|script|{doIf}|script|*,1
script|{doWait}|literal:userDef|*|*|*,54
sprite:userDef|script|{doWait}|literal:userDef|*,17
stage:userDef|sprite:userDef|{script}|doWait|doSetVar|doWait,54
snapshot|stage:userDef|{sprite:userDef}|script|script,3
stage:userDef|sprite:userDef|{script}|doWait|doSetVar|*|*,1
stage:userDef|sprite:userDef|{script}|doWait|doSetVar,40
script|{doSwitchToCostume}|*|*|*|literal:userDef,1
"{script}|doChangeVar|doWait|doChangeVar",1
"{doWait}|*|literal:userDef",34
snapshot|stage:userDef|{script}|*|doIf|*|*,1
"{doWait}|*|literal:userDef",24
stage:userDef|sprite:userDef|{script}|*|*|*|receiveGo,1
sprite:userDef|script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,25
script|{changeYPosition}|literal:userDef,2
script|{doTellTo}|*|literal:userDef|reifyScript|list,2
"{doTellTo}|*|literal:userDef",2
"{doSetVar}|literal:userDef|*",3
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",46
sprite:userDef|script|{doWait}|*|literal:userDef,34
"{doWait}|*|literal:userDef",14
sprite:userDef|script|{doSetVar}|varMenu:userDef|literal:userDef,25
script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,31
"{doWait}|*|*|*|literal:userDef",57
sprite:userDef|script|{doChangeVar}|*|varMenu:userDef|literal:userDef|*,7
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,48
"{stage:userDef}|sprite:userDef",1
script|{forward}|*|*|*|literal:userDef,2
snapshot|stage:userDef|{sprite:userDef}|script|script|script|script,2
stage:userDef|sprite:userDef|{script}|*|doWait|*|*,1
"{script}|doSetVar|doWait",55
script|{doWait}|*|*|literal:userDef|*,25
sprite:userDef|script|{doSetVar}|*|varMenu:userDef|literal:userDef,2
sprite:userDef|{script}|doWait|doSetVar|doWait|doSetVar,18
"{script}|doWait|doChangeVar|doWait|doChangeVar",9
script|{doWait}|*|literal:userDef|*|*,29
"{doWait}|*|*|*|literal:userDef",7
"{reifyScript}|list|script",1
