PQGram,Count
sprite:userDef|{script}|gotoXY,3
"{script}|*|*|doSetVar",5
"{script}|hide",1
"{script}|show",3
"{reportTouchingColor}|literal:userDef",7
script|{changeYPosition}|var:userDef|*,1
sprite:userDef|script|{doForever}|*|script|*|*,7
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
"{reportRandom}|*|*|reportAttributeOf",2
script|doIf|{script}|doIfElse|*|*|*,1
snapshot|stage:userDef|{script}|receiveGo,1
"{reportTouchingColor}|*|*|*|literal:userDef",6
stage:userDef|sprite:userDef|{script}|receiveGo|doForever,3
script|{doForever}|*|script|*|*,3
script|{doRepeat}|literal:userDef|script|*,1
doIf|{script}|doSetVar|gotoXY|show|doRepeat,3
"{doForever}|*|*|script|*",8
"{reportAttributeOf}|literal:userDef|literal:userDef|*|*",3
"{reportProduct}|*|*|*|literal:userDef",3
script|{doChangeVar}|*|*|*|varMenu:userDef,4
"{doIf}|*|*|*|reportTouchingColor",7
"{doForever}|*|*|*|script",6
"{reportRandom}|reportAttributeOf|*|*",2
script|doIf|{script}|*|*|doRepeat|doSetVar,1
doTellTo|{reifyScript}|*|*|list|script,1
script|{hide}|*|*|*,1
"{script}|doRepeat|*|*|*",1
reportLessThan|{var:userDef}|*|*|*,1
sprite:userDef|script|{doForever}|*|script,1
reifyScript|script|{doSwitchToCostume}|literal:userDef|*,1
sprite:userDef|{script}|*|*|receiveGo,2
script|{changeXPosition}|*|reportProduct|*,1
reportOr|{reportTouchingColor}|literal:userDef|*,2
sprite:userDef|script|{doTellTo}|reifyScript|list|*|*,1
doIf|script|{changeYPosition}|literal:userDef,3
doIf|{script}|doIf|*,4
script|{gotoXY}|literal:userDef|*,6
script|doIf|{script}|*|doChangeVar|*|*,1
"{sprite:userDef}|script|script",5
sprite:userDef|{script}|hide|*|*|*,4
stage:userDef|sprite:userDef|{script}|hide|*|*,5
doRepeat|{script}|*|changeEffect|*,6
script|doIf|{script}|doIf|doSetVar|changeXPosition|doIf,1
doIfElse|script|{doSetVar}|literal:userDef|*|*,4
"*|*|{snapshot}|stage:userDef|varDec:userDef|varDec:userDef|varDec:userDef",1
doPlaySoundUntilDone|{literal:userDef}|*|*,1
"{sprite:userDef}|script|script",15
"{reportTouchingColor}|literal:userDef|*",10
"{changeEffect}|*|literal:userDef|literal:userDef|*",4
script|{changeYPosition}|*|literal:userDef|*,3
script|{changeEffect}|literal:userDef|literal:userDef|*,3
script|doForever|{script}|*|doSwitchToCostume,2
"{reportAttributeOf}|*|*|literal:userDef",4
stage:userDef|{script}|doForever|*|*|*,1
doIf|script|{doChangeVar}|literal:userDef,2
stage:userDef|{sprite:userDef}|script|script,16
script|doForever|{script}|doSwitchToCostume|*|*|*,1
"{doGlide}|*|literal:userDef",1
doIf|script|{doIf}|script|*|*,4
sprite:userDef|script|{doGlide}|literal:userDef,1
"{doSetVar}|varMenu:userDef|reportProduct|*|*",1
doIf|{script}|*|*|*|doSetVar,1
doGlide|reportRandom|{reportAttributeOf}|literal:userDef|*|*|*,3
"{doSetVar}|*|varMenu:userDef|reportProduct",1
"{doChangeVar}|literal:userDef|*",3
"{gotoXY}|literal:userDef|*|*|*",4
"{script}|*|*|*|receiveGo",5
script|{changeEffect}|literal:userDef|literal:userDef|*|*,4
reportProduct|{literal:userDef}|*,1
"{doIf}|*|reportAnd|script",1
sprite:userDef|script|{doForever}|*|*|*|script,6
stage:userDef|{sprite:userDef}|script|script|script|*,3
"*|{snapshot}|varDec:userDef|*|*",1
"{doForever}|*|*|script",7
"{script}|*|receiveGo",11
"{script}|changeXPosition|doIf",1
"{doForever}|*|script",5
"{gotoXY}|literal:userDef|literal:userDef|*",6
script|doIf|{script}|doIf|*,6
stage:userDef|script|{doForever}|script,1
doIf|{reportTouchingColor}|literal:userDef|*,7
"{doForever}|*|script|*|*",1
doIf|{reportTouchingColor}|*|*|literal:userDef|*,4
script|{doIf}|script|*,3
"{doIf}|*|reportTouchingColor",7
"{doIf}|script|*|*",1
doIf|{script}|changeXPosition|changeXPosition,1
"{sprite:userDef}|*|script",1
sprite:userDef|{script}|gotoXY|show|doTellTo,1
script|doSetVar|{reportProduct}|*|literal:userDef|var:userDef|*,1
doIf|script|{doRepeat}|literal:userDef|script|*|*,4
doRepeat|script|{changeEffect}|literal:userDef|literal:userDef|*,2
doIf|script|{changeYPosition}|literal:userDef|*|*|*,5
"{sprite:userDef}|script|script|*|*",3
doGlide|reportRandom|{reportAttributeOf}|literal:userDef,5
doRepeat|script|{changeEffect}|literal:userDef|*|*,5
script|doIf|{reportTouchingColor}|literal:userDef|*|*,2
"{script}|doIfElse|doSetVar",1
"{gotoXY}|*|literal:userDef|literal:userDef|*",4
doGlide|{reportRandom}|reportAttributeOf,4
"{reportKeyPressed}|*|literal:userDef|*|*",1
script|doIf|{script}|*|changeYPosition|doIf|*,3
"{changeYPosition}|*|literal:userDef",2
script|doIf|{reportTouchingColor}|*|*|literal:userDef,3
script|{hide}|*|*,1
doRepeat|script|{changeEffect}|*|literal:userDef|literal:userDef,3
"{reifyScript}|list",1
"{script}|*|*|receiveGo|doForever",2
doIf|script|{doChangeVar}|varMenu:userDef|literal:userDef,1
doForever|{script}|doIf|*|*,5
sprite:userDef|script|{doForever}|*|*|script|*,5
script|{changeXPosition}|literal:userDef|*|*,2
script|{doSetVar}|literal:userDef|*|*|*,16
doIf|{script}|doIf,3
doIf|{reportTouchingColor}|*|literal:userDef|*,2
stage:userDef|{sprite:userDef}|script,1
doIf|{reportKeyPressed}|*|literal:userDef|*,1
sprite:userDef|{script}|*|*|*|doGlide,1
script|doIf|{reportTouchingColor}|literal:userDef,4
sprite:userDef|{script}|receiveGo|show|*|*,1
script|doForever|{script}|*|doIf|*|*,4
script|{doRepeat}|*|*|literal:userDef,1
script|doIf|{script}|changeXPosition|changeXPosition,1
doIf|{script}|show|doRepeat|*|*,1
doSetVar|{varMenu:userDef}|*,1
stage:userDef|{sprite:userDef}|script,11
"{script}|changeEffect|*|*",6
"{doIf}|reportNot|script",1
stage:userDef|sprite:userDef|{script}|*|receiveGo,6
"{script}|receiveGo|doForever",1
sprite:userDef|script|{doForever}|script|*,3
doIf|script|{doSetVar}|varMenu:userDef|literal:userDef,4
doForever|{script}|*|*|*|doPlaySoundUntilDone,1
doIf|{script}|doSetVar|doSetVar|gotoXY,2
"{changeEffect}|literal:userDef|*|*|*",4
"{gotoXY}|*|literal:userDef|literal:userDef|*",1
"{changeYPosition}|*|*|literal:userDef",6
stage:userDef|sprite:userDef|{script}|*|receiveGo,3
script|doIf|{reportTouchingColor}|literal:userDef|*|*|*,8
"{doChangeVar}|*|varMenu:userDef|literal:userDef|*",4
script|doIf|{reportOr}|reportTouchingColor,1
script|{changeEffect}|literal:userDef|literal:userDef|*,6
sprite:userDef|script|{doForever}|script|*|*,4
script|doIfElse|{script}|*|*|doSetVar|*,2
script|doIf|{reportLessThan}|literal:userDef|*|*,1
script|{changeYPosition}|*|literal:userDef|*,6
"{doSwitchToCostume}|*|*|var:userDef|*",2
script|doIf|{script}|show,3
doIf|{script}|doIf|*|*|*,7
script|{doIfElse}|*|*|*|reportLessThan,1
"{reportTouchingObject}|*|literal:userDef|*",2
reportAnd|{reportLessThan}|*|*|literal:userDef|xPosition,1
script|{changeYPosition}|*|*|*|literal:userDef,5
script|doIf|{script}|*|doSetVar|*,2
script|doPlaySoundUntilDone|{literal:userDef}|*|*,1
"{doIf}|*|reportTouchingColor|script",8
doIf|script|{doSetVar}|varMenu:userDef|literal:userDef,1
sprite:userDef|script|{doForever}|script,3
script|{doIf}|script|*|*,7
doIf|{script}|changeXPosition|doIf|changeYPosition,1
sprite:userDef|script|{doForever}|script|*,6
script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,6
sprite:userDef|{script}|*|*|receiveGo,5
script|{doIf}|reportNot,1
script|{doRepeat}|script|*,2
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",2
doForever|script|{doIf}|*|reportLessThan|script|*,1
script|{doSetVar}|*|varMenu:userDef,6
"{script}|*|*|*|receiveGo",2
"{reportTouchingColor}|*|*|*|literal:userDef",9
"{doIf}|*|reportNot|script",1
"{doSetVar}|*|*|varMenu:userDef",8
script|doIfElse|{reportLessThan}|*|literal:userDef,1
script|{doSetVar}|*|*|varMenu:userDef,5
"{doRepeat}|script|*|*",3
script|{doIf}|*|reportTouchingColor|script,8
doTellTo|{literal:userDef}|*|*,1
"{doSetVar}|*|*|*|varMenu:userDef",7
"{reportTouchingColor}|literal:userDef",8
doIf|script|{gotoXY}|*|*|literal:userDef|literal:userDef,3
doRepeat|script|{changeEffect}|*|*|literal:userDef,6
script|{gotoXY}|literal:userDef,11
"{reportRandom}|reportAttributeOf|*",1
"{script}|*|doIf|*|*",2
script|doForever|{script}|*|*|*|doPlaySoundUntilDone,1
script|{gotoXY}|literal:userDef,1
sprite:userDef|{script}|*|hide|*|*,5
doIf|reportOr|{reportTouchingColor}|*|*|*|literal:userDef,2
script|{gotoXY}|*|literal:userDef|literal:userDef,5
"{script}|*|*|receiveGo",6
script|doIf|{script}|changeXPosition,4
stage:userDef|sprite:userDef|{script}|receiveGo|doForever,6
"{script}|*|receiveGo|show|*",2
doForever|script|{doSwitchToCostume}|var:userDef,2
"{doIf}|*|*|reportKeyPressed",3
stage:userDef|sprite:userDef|{script}|*|hide|*|*,1
"{script}|changeYPosition|doIf",4
"{doIf}|reportTouchingColor|script|*",1
stage:userDef|{sprite:userDef}|*|*|script|script,3
doIf|script|{changeYPosition}|*|literal:userDef|*,1
"{doRepeat}|script",6
"{script}|*|*|receiveGo|doForever",5
doIfElse|{script}|doIfElse|doSetVar|*|*,1
"{doRepeat}|*|*|literal:userDef",2
doIf|reportAnd|{reportTouchingObject}|literal:userDef,1
"{doSetVar}|*|*|*|varMenu:userDef",10
snapshot|stage:userDef|{sprite:userDef}|script|script|*,1
stage:userDef|sprite:userDef|{script}|gotoXY|show,1
"*|snapshot|{stage:userDef}|sprite:userDef|sprite:userDef",1
script|{doRepeat}|literal:userDef|script|*,4
"{changeXPosition}|*|*|literal:userDef|*",1
doIf|script|{doSetVar}|varMenu:userDef,9
doIf|{reportNot}|*|*|*|reportTouchingObject,1
"{doForever}|*|*|script|*",5
"{changeYPosition}|literal:userDef|*|*",4
"{script}|changeYPosition|doIf|changeYPosition",1
script|{doSetVar}|*|*|varMenu:userDef,8
sprite:userDef|{script}|hide,2
doIf|script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,8
doIfElse|script|{doSetVar}|*|varMenu:userDef|literal:userDef,2
doIf|script|{doIf}|*|reportTouchingColor|script,7
