PQGram,Count
reportEquals|{reportSum}|var:userDef|var:userDef|*,18
sprite:userDef|{script}|receiveMessage|hide,2
sprite:userDef|script|{doBroadcast}|literal:userDef|*|*,5
"{script}|hide",1
"{script}|show",3
"{receiveMessage}|literal:userDef|*|*|*",28
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
"{reportLessThan}|*|var:userDef",2
script|doSetVar|{reportRandom}|*|literal:userDef|literal:userDef,10
snapshot|stage:userDef|{script}|receiveGo,1
sprite:userDef|script|{receiveMessage}|literal:userDef|*,1
"{receiveKey}|literal:userDef|*|*",4
stage:userDef|sprite:userDef|{script}|receiveMessage,5
script|{doIf}|*|*|reportEquals|script,3
stage:userDef|sprite:userDef|{script}|*|*|*|receiveMessage,8
"{reportEquals}|*|*|getLastAnswer|reportSum",3
reportNot|reportEquals|{getLastAnswer}|*|*|*|*,1
doTellTo|{reifyScript}|*|*|list|script,1
reportEquals|{reportSum}|var:userDef|*|*,14
stage:userDef|sprite:userDef|{script}|doSetVar|show|doWait,1
reportLessThan|{var:userDef}|*|*|*,1
doIf|script|{doStopThis}|*|*|*|literal:userDef,2
script|{doSetVar}|*|varMenu:userDef|reportRandom|*,6
sprite:userDef|{script}|doSayFor|doSwitchToCostume,1
"{script}|gotoXY|doSwitchToCostume",1
"{script}|*|receiveKey",5
reportJoinWords|{list}|var:userDef,2
sprite:userDef|script|{doForever}|*|script,1
doSetVar|{reportRandom}|literal:userDef,16
reportEquals|{reportSum}|var:userDef|var:userDef|*|*,1
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
"{reportEquals}|*|getLastAnswer|reportSum|*",17
"{reportLessThan}|var:userDef|literal:userDef|*",1
sprite:userDef|script|{doTellTo}|reifyScript|list|*|*,1
sprite:userDef|script|{doTellTo}|*|*|literal:userDef|reifyScript,2
sprite:userDef|{script}|*|*|*|receiveMessage,23
"{sprite:userDef}|script|script",5
sprite:userDef|{script}|hide|*|*|*,4
doIf|reportNot|{reportEquals}|getLastAnswer|reportSum,4
"{script}|*|receiveMessage|show",3
"{list}|literal:userDef|var:userDef|*|*",3
script|doIf|{script}|doBroadcast,8
snapshot|{stage:userDef}|script,10
sprite:userDef|{script}|doTellTo|gotoXY|show|doSayFor,1
"{receiveKey}|*|*|*|literal:userDef",5
script|doUntil|{script}|doAsk|doIf|*,5
sprite:userDef|script|{doSetVar}|varMenu:userDef,5
"{script}|show|*",6
sprite:userDef|script|{doUntil}|*|reportEquals,5
