PQGram,Count
sprite:userDef|{script}|receiveMessage|hide,2
sprite:userDef|script|{doBroadcast}|literal:userDef|*|*,5
doRepeat|script|{show}|*,1
"{script}|hide",1
"{script}|show",3
"{receiveMessage}|literal:userDef|*|*|*",28
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
sprite:userDef|{script}|receiveGo|hide|doSwitchToCostume,1
sprite:userDef|script|{receiveMessage}|literal:userDef|*,1
"{setScale}|*|literal:userDef|*|*",6
script|{doForever}|*|script|*|*,3
doIf|{script}|playSound|*|*,1
stage:userDef|sprite:userDef|{script}|receiveMessage,5
sprite:userDef|{script}|gotoXY,13
script|{doRepeat}|script|*|*|*,21
doRepeat|{script}|changeScale|changeEffect|*,2
"{doWait}|*|*|*|literal:userDef",10
script|{doIf}|*|*|reportEquals|script,3
"{doForever}|*|*|*|script",6
stage:userDef|sprite:userDef|{script}|*|*|*|receiveMessage,8
doWarp|{script}|*|down,1
reportNot|{reportEquals}|*|literal:userDef|var:userDef,3
"{script}|*|changeYPosition",7
"{gotoXY}|*|*|*|literal:userDef",25
sprite:userDef|script|{receiveOnClone}|*,1
sprite:userDef|{script}|doSwitchToCostume|setScale|gotoXY|doWait,1
"{script}|gotoXY|doSwitchToCostume",1
"{doWait}|*|*|literal:userDef|*",28
sprite:userDef|script|{doForever}|*|script,1
doRepeat|script|{setScale}|*|literal:userDef|*|*,1
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
"{reportQuotient}|literal:userDef|*|*",9
doIfElse|{script}|gotoXY|doSwitchToCostume|*|*,1
"{script}|doSetVar|createClone|doWait",1
"{customBlock:userDef}|script|*|*|*",8
doWarp|{script}|gotoXY|gotoXY|gotoXY|*,1
script|{gotoXY}|literal:userDef|*|*|*,12
changeYPosition|reportQuotient|{reportDifference}|literal:userDef|yPosition|*|*,3
"{script}|removeClone|*|*|*",3
doRepeat|script|{doWearNextCostume}|*|*,1
sprite:userDef|{script}|*|*|*|receiveMessage,23
"{sprite:userDef}|script|script",5
sprite:userDef|{script}|hide|*|*|*,4
doRepeat|script|{setScale}|*|*|literal:userDef,4
"{script}|*|receiveMessage|show",3
"{changeVolume}|*|*|*|literal:userDef",1
"{setPenHSVA}|*|*|literal:userDef|literal:userDef",3
customBlock:userDef|script|{playSound}|literal:userDef|*,5
doWarp|script|{gotoXY}|*|literal:userDef,4
"{script}|*|*|*|up",1
"{reportDifference}|literal:userDef|direction",1
sprite:userDef|{script}|hide,22
"{changeEffect}|*|literal:userDef|literal:userDef|*",4
script|{changeEffect}|literal:userDef|literal:userDef|*,3
"{playSound}|literal:userDef|*|*",8
sprite:userDef|script|{setEffect}|literal:userDef|literal:userDef|*,2
"{script}|doWait|doSwitchToCostume|evaluateCustomBlock:userDef",2
script|{doWait}|*|literal:userDef|*,9
script|{receiveMessage}|literal:userDef|*|*,19
sprite:userDef|{script}|receiveMessage|doWait,1
sprite:userDef|{script}|receiveMessage|doSwitchToCostume|setScale|gotoXY,2
doIf|script|{playSound}|literal:userDef|*|*|*,2
sprite:userDef|customBlock:userDef|{script}|setPenHSVA|gotoXY|down,1
"{script}|*|changeXPosition|*",1
"{doWait}|literal:userDef|*|*",24
sprite:userDef|script|{doIfElse}|script|script,1
"{script}|doPlaySoundUntilDone|doBroadcast|hide",2
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
"{gotoXY}|*|*|literal:userDef|literal:userDef",21
sprite:userDef|{script}|hide|gotoXY,3
stage:userDef|sprite:userDef|{script}|*|receiveMessage,9
snapshot|stage:userDef|{sprite:userDef}|script|*|*|*,11
"{script}|doRepeat|doBroadcast|hide",1
script|doForever|{script}|*|changeScale|turn|*,1
stage:userDef|sprite:userDef|{script}|doSetVar|*|*|*,2
"{gotoXY}|literal:userDef|*|*|*",4
script|{changeEffect}|literal:userDef|literal:userDef|*|*,4
"{script}|doWait|doBroadcast",5
"{script}|changeEffect",9
stage:userDef|sprite:userDef|{script}|*|receiveOnClone|setScale|doGotoObject,1
"{gotoXY}|literal:userDef",14
sprite:userDef|{script}|doWait,5
"{customBlock:userDef}|script",3
"{setEffect}|literal:userDef|literal:userDef|*|*",2
script|{up}|*|*|*|*,1
"{sprite:userDef}|script",22
script|{goToLayer}|*|literal:userDef,3
sprite:userDef|script|{doForever}|*|*|*|script,6
script|{doWait}|literal:userDef|*|*,21
script|changeYPosition|{reportQuotient}|*|reportDifference,7
sprite:userDef|customBlock:userDef|{script}|*|doWarp|*|*,1
changeYPosition|reportQuotient|{reportDifference}|literal:userDef|yPosition,1
stage:userDef|{sprite:userDef}|script|script|script|*,3
"*|{snapshot}|varDec:userDef|*|*",1
"{turn}|*|reportQuotient|*|*",1
script|{changeYPosition}|reportQuotient|*|*|*,6
"{script}|*|receiveGo",11
script|{doBroadcast}|literal:userDef|*|*|*,6
"{doForever}|*|script",5
doRepeat|script|{changeScale}|reportQuotient,2
script|doRepeat|{script}|changeEffect|*|*,8
"{doSwitchToCostume}|literal:userDef|*|*|*",2
reportEquals|{literal:userDef}|*|*|*,1
sprite:userDef|{script}|doWait,25
script|receiveMessage|{literal:userDef}|*|*|*,1
sprite:userDef|{script}|*|receiveOnClone|doForever|*,2
"{script}|*|*|evaluateCustomBlock:userDef",1
"{reportNot}|*|reportEquals|*|*",3
script|{down}|*|*|*|*,1
sprite:userDef|{script}|doIf|*|*|*,1
script|doForever|{script}|*|*|changeScale,1
script|changeYPosition|{reportQuotient}|reportDifference|literal:userDef,3
customBlock:userDef|{script}|doRepeat|up,1
stage:userDef|sprite:userDef|{script}|doRepeat,12
doRepeat|script|{changeEffect}|literal:userDef|literal:userDef|*,2
"{script}|*|*|receiveMessage|doSwitchToCostume",2
script|{receiveMessage}|*|literal:userDef|*,4
"{sprite:userDef}|script|script|*|*",3
"{sprite:userDef}|customBlock:userDef|*",1
script|{doWait}|*|literal:userDef|*|*,20
script|{turn}|literal:userDef|*,5
"{doBroadcast}|literal:userDef|*|*|*",2
"{sprite:userDef}|varDec:userDef",6
sprite:userDef|{script}|hide|setScale|doIfElse,1
script|{hide}|*|*,1
"{sprite:userDef}|*|*|script",10
"{reportEquals}|var:userDef|*|*",6
"{script}|show|doWait|hide",1
sprite:userDef|script|{doPlaySoundUntilDone}|*|*|*|literal:userDef,3
sprite:userDef|script|{doWait}|*|literal:userDef|*,18
script|{doRepeat}|*|*|literal:userDef|script,21
sprite:userDef|{script}|doWait|evaluateCustomBlock:userDef|evaluateCustomBlock:userDef|doWait,1
script|{doWait}|literal:userDef|*,5
snapshot|stage:userDef|{sprite:userDef}|script,37
"{gotoXY}|literal:userDef|literal:userDef|*|*",15
script|{setEffect}|*|*|literal:userDef,2
stage:userDef|{sprite:userDef}|script,1
"{doRepeat}|script|*|*",13
stage:userDef|sprite:userDef|{script}|receiveMessage|show,1
reportQuotient|{reportDifference}|*|literal:userDef|xPosition,3
"{script}|createClone|doBroadcast|doBroadcast",1
stage:userDef|sprite:userDef|{script}|gotoXY|show,4
"{script}|changeEffect|*|*",6
"{doIf}|reportNot|script",1
stage:userDef|sprite:userDef|{script}|*|receiveGo,6
doIf|{script}|*|doWait|doRepeat,1
"{turn}|*|*|literal:userDef|*",5
script|{receiveMessage}|*|literal:userDef|*|*,28
customBlock:userDef|{script}|down,6
"{script}|playSound|show|doWait",2
"{sprite:userDef}|customBlock:userDef|customBlock:userDef",2
"{receiveMessage}|literal:userDef",15
doWarp|script|{gotoXY}|*|literal:userDef,1
script|{gotoXY}|literal:userDef,51
sprite:userDef|script|{doRepeat}|*|literal:userDef|script,11
sprite:userDef|script|{gotoXY}|literal:userDef|literal:userDef|*,14
stage:userDef|sprite:userDef|{script}|*|receiveGo,3
"{receiveMessage}|*|*|literal:userDef",23
sprite:userDef|{script}|gotoXY|*|*|*,3
doWarp|{script}|gotoXY|gotoXY|gotoXY,3
stage:userDef|sprite:userDef|{script}|setScale|doIf,1
script|{changeEffect}|literal:userDef|literal:userDef|*,6
"{script}|hide|*|*",7
script|changeYPosition|{reportQuotient}|*|reportDifference|literal:userDef|*,6
script|{receiveMessage}|*|literal:userDef|*,7
customBlock:userDef|script|{playSound}|literal:userDef|*,2
"{script}|doBroadcast|*|*",5
doRepeat|script|{changeEffect}|literal:userDef|literal:userDef|*|*,8
"{reportDifference}|literal:userDef|direction|*|*",1
doRepeat|{script}|changeYPosition|*|*|*,6
"{sprite:userDef}|*|varDec:userDef|varDec:userDef|varDec:userDef",1
"{script}|doWait|setScale",2
stage:userDef|sprite:userDef|{script}|receiveMessage|show,4
sprite:userDef|{script}|*|*|receiveMessage|doRepeat,1
stage:userDef|sprite:userDef|{script}|doWait,16
reportSum|reportQuotient|{literal:userDef}|*|*|*,1
script|{doRepeat}|literal:userDef|script,23
script|doPlaySoundUntilDone|{literal:userDef}|*|*,1
"{gotoXY}|*|*|literal:userDef|literal:userDef",18
script|changeYPosition|{reportQuotient}|literal:userDef|*|*|*,4
customBlock:userDef|script|{playSound}|*|*|literal:userDef,3
stage:userDef|sprite:userDef|{varDec:userDef}|*,1
sprite:userDef|{script}|gotoXY|hide,2
sprite:userDef|script|{doForever}|script,3
"{changeScale}|*|reportQuotient",4
snapshot|stage:userDef|{script}|setVolume|*|*,1
reportQuotient|{reportDifference}|xPosition|*,1
sprite:userDef|{script}|show|doWait|doRepeat,2
script|{gotoXY}|literal:userDef,31
turn|reportQuotient|{reportDifference}|*|*|literal:userDef,1
script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,6
sprite:userDef|customBlock:userDef|{script}|gotoXY|down|playSound|doRepeat,6
sprite:userDef|script|{doBroadcast}|literal:userDef,1
sprite:userDef|script|{doWait}|literal:userDef|*|*,13
"{gotoXY}|literal:userDef|*|*|*",7
script|{doIf}|reportNot,1
"*|*|{snapshot}|*|*|stage:userDef|customBlock:userDef",1
doUntil|reportLessThan|{yPosition}|*|*|*,1
doIfElse|{reportEquals}|var:userDef|*|*,3
"{setScale}|*|literal:userDef|*|*",9
"{changeYPosition}|reportQuotient|*|*|*",2
script|{doRepeat}|script|*,2
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",2
stage:userDef|sprite:userDef|{script}|show|doWait|doRepeat|doBroadcast,1
script|{doStopAllSounds}|*|*,1
"{doWait}|literal:userDef|*",17
"{script}|*|*|*|receiveOnClone",2
sprite:userDef|script|{receiveMessage}|literal:userDef|*,4
"{doIf}|*|reportNot|script",1
"{doSetVar}|*|*|varMenu:userDef",8
doUntil|{reportLessThan}|literal:userDef|*|*|*,1
sprite:userDef|script|{setScale}|*|*|literal:userDef|*,9
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,1
"{reportDifference}|yPosition",7
"{doSetVar}|*|*|*|varMenu:userDef",7
sprite:userDef|script|{doWait}|*|*|*|literal:userDef,24
doRepeat|script|{changeEffect}|*|*|literal:userDef,6
script|{gotoXY}|literal:userDef,11
"{changeEffect}|*|literal:userDef|literal:userDef|*",7
"{receiveMessage}|literal:userDef|*|*",21
doRepeat|script|{setScale}|*|*|literal:userDef|*,4
script|{gotoXY}|*|literal:userDef|literal:userDef,5
"{script}|*|*|receiveGo",6
changeYPosition|reportQuotient|{literal:userDef}|*,1
stage:userDef|sprite:userDef|{script}|receiveOnClone|doForever|*,2
script|setColor|{literal:userDef}|*|*|*|*,1
script|{doSetVar}|varMenu:userDef|reportSum,1
script|doIf|{script}|removeClone|*,1
doIf|script|{playSound}|*|literal:userDef,1
"{goToLayer}|*|literal:userDef|*",1
script|{doBroadcast}|literal:userDef,6
sprite:userDef|customBlock:userDef|{script}|gotoXY|down|playSound,1
"{script}|doWait|setScale|turn",3
snapshot|stage:userDef|{sprite:userDef}|varDec:userDef|script|script,1
customBlock:userDef|script|{doRepeat}|script|*|*|*,3
sprite:userDef|script|{doStopThis}|literal:userDef,1
"{doRepeat}|*|*|literal:userDef",2
script|{changeYPosition}|*|*|reportQuotient|*,4
script|{gotoXY}|literal:userDef|*,16
"{doSetVar}|*|*|*|varMenu:userDef",10
doForever|script|{doWait}|*|reportRandom,1
turn|reportQuotient|{reportDifference}|*|*|literal:userDef|direction,2
stage:userDef|sprite:userDef|{script}|gotoXY|show,1
"{gotoXY}|*|*|*|literal:userDef",22
"{script}|changeScale|changeEffect|*",4
script|{gotoXY}|*|*|literal:userDef,9
"{gotoXY}|literal:userDef",13
"{changeXPosition}|*|*|literal:userDef|*",1
script|{doWait}|*|*|literal:userDef|*,2
sprite:userDef|script|{doRepeat}|script|*|*,8
script|doUntil|{script}|turn|changeXPosition,1
"{gotoXY}|literal:userDef|literal:userDef|*|*",18
"{changeScale}|*|*|var:userDef|*",1
sprite:userDef|{script}|*|*|receiveOnClone,2
snapshot|{stage:userDef}|sprite:userDef|sprite:userDef,8
"{script}|doRepeat|doBroadcast",3
"{script}|*|*|gotoXY|doSwitchToCostume",2
sprite:userDef|script|{receiveMessage}|literal:userDef|*|*|*,1
"{customBlock:userDef}|*|*|script",2
doRepeat|script|{setScale}|literal:userDef,3
doUntil|{reportLessThan}|*|yPosition,1
"{gotoXY}|literal:userDef|literal:userDef",9
script|changeXPosition|{reportQuotient}|reportDifference|literal:userDef|*|*,3
"*|snapshot|{customBlock:userDef}|*|*|script|*",3
"{sprite:userDef}|script",21
sprite:userDef|{script}|hide,2
"{script}|receiveGo|doSetVar|doSetVar|hide",1
stage:userDef|{script}|setVolume|*,1
script|{gotoXY}|*|literal:userDef|literal:userDef,2
sprite:userDef|customBlock:userDef|{script}|up|setColor|setSize,2
"{script}|doWait|doRepeat",5
"{script}|receiveGo|hide|gotoXY|*",1
stage:userDef|sprite:userDef|{script}|doWait|evaluateCustomBlock:userDef|evaluateCustomBlock:userDef,2
"{script}|hide|*",4
stage:userDef|sprite:userDef|{script}|*|receiveMessage,12
"{changeEffect}|literal:userDef|*|*",1
snapshot|stage:userDef|{script}|doWait,1
script|doWarp|{script}|*|down|setSize,1
"{script}|doRepeat|removeClone",3
"{receiveMessage}|literal:userDef",16
"{reportRandom}|*|*|literal:userDef",1
doForever|script|{doWait}|*|*|reportRandom|*,1
stage:userDef|{sprite:userDef}|script|script,6
doIf|script|{setHeading}|literal:userDef|*|*|*,1
customBlock:userDef|{script}|up|*|*|*,1
"{gotoXY}|literal:userDef|literal:userDef",29
sprite:userDef|script|{gotoXY}|literal:userDef|literal:userDef,15
script|{doWait}|literal:userDef|*|*|*,17
sprite:userDef|script|{gotoXY}|literal:userDef,26
"{reportQuotient}|literal:userDef|*",8
doRepeat|script|{changeEffect}|*|literal:userDef|literal:userDef|*,2
doGotoObject|{literal:userDef}|*|*,1
reportQuotient|{reportDifference}|literal:userDef,2
"{sprite:userDef}|varDec:userDef",5
"{customBlock:userDef}|script",2
sprite:userDef|{script}|receiveMessage|doSwitchToCostume,6
"{script}|doRepeat|removeClone|*",1
sprite:userDef|script|{receiveMessage}|literal:userDef,6
"{doRepeat}|*|literal:userDef|script",20
reportQuotient|{reportDifference}|literal:userDef|yPosition|*|*,5
customBlock:userDef|{script}|up,7
"{gotoXY}|literal:userDef|*|*",2
stage:userDef|script|{setVolume}|*|literal:userDef,2
stage:userDef|script|{setVolume}|*|*|*|literal:userDef,1
script|{changeVolume}|literal:userDef|*,1
"{reportEquals}|*|*|literal:userDef|var:userDef",11
script|setScale|{literal:userDef}|*|*,1
"{script}|*|receiveMessage|playSound",2
doIf|{reportEquals}|var:userDef|*|*|*,4
"{changeEffect}|*|literal:userDef",4
stage:userDef|sprite:userDef|{script}|*|receiveMessage|hide|*,2
"{snapshot}|stage:userDef",1
"{doWait}|*|*|literal:userDef",26
script|{changeEffect}|*|*|literal:userDef|literal:userDef,4
script|{gotoXY}|*|*|*|literal:userDef,25
snapshot|stage:userDef|{sprite:userDef}|*|*|*|script,9
doIf|{script}|*|playSound,1
"{sprite:userDef}|varDec:userDef",4
sprite:userDef|script|{doBroadcast}|*|literal:userDef,11
"{gotoXY}|literal:userDef|*|*|*",10
"{doWait}|*|literal:userDef|*",35
sprite:userDef|script|{doUntil}|*|*|*|reportLessThan,1
"{setColor}|literal:userDef|*|*",2
stage:userDef|sprite:userDef|{script}|receiveMessage|doSwitchToCostume|doWait|show,1
sprite:userDef|{script}|hide|gotoXY|*|*,2
"{gotoXY}|literal:userDef|*",4
"{gotoXY}|literal:userDef|literal:userDef|*",16
customBlock:userDef|script|{gotoXY}|literal:userDef|*,5
script|{createClone}|*|*|*|literal:userDef,3
script|{setSize}|*|literal:userDef,1
stage:userDef|sprite:userDef|{script}|*|receiveMessage,6
stage:userDef|sprite:userDef|{script}|show,17
doWarp|script|{gotoXY}|literal:userDef,11
stage:userDef|sprite:userDef|{script}|hide|*,15
"{doRepeat}|literal:userDef|script|*",2
doWarp|script|{gotoXY}|literal:userDef|literal:userDef,3
changeYPosition|reportQuotient|{reportDifference}|yPosition,6
customBlock:userDef|script|{setSize}|literal:userDef|*,1
"{receiveMessage}|literal:userDef",17
script|{doIfElse}|reportEquals|script|script|*,2
"{changeXPosition}|*|literal:userDef",1
