,bounceOffEdge,bubble,changeEffect,changePenHSVA,changeScale,changeSize,changeVolume,changeXPosition,changeYPosition,clear,clearEffects,createClone,customBlock,direction,doAddToList,doAsk,doBroadcast,doBroadcastAndWait,doChangeVar,doDeleteFromList,doFaceTowards,doForever,doGlide,doGotoObject,doHideVar,doIf,doIfElse,doInsertInList,doPlayNote,doPlaySoundUntilDone,doRepeat,doReplaceInList,doResetTimer,doRest,doSayFor,doSetGlobalFlag,doSetTempo,doSetVar,doSetVideoTransparency,doShowVar,doStamp,doStopAllSounds,doStopThis,doSwitchToCostume,doTellTo,doThink,doThinkFor,doUntil,doWait,doWaitUntil,doWarp,doWearNextCostume,down,evaluateCustomBlock,forward,getCostumeIdx,getLastAnswer,getScale,getTimer,getVolume,goBack,goToLayer,gotoXY,hide,list,literal,playSound,receiveGo,receiveInteraction,receiveKey,receiveMessage,receiveOnClone,reifyScript,removeClone,reportAnd,reportAttributeOf,reportColorIsTouchingColor,reportDate,reportDifference,reportDistanceTo,reportEquals,reportGreaterThan,reportJoinWords,reportKeyPressed,reportLessThan,reportLetter,reportListContainsItem,reportListItem,reportListLength,reportModulus,reportMonadic,reportMouseDown,reportMouseX,reportMouseY,reportNot,reportObject,reportOr,reportProduct,reportQuotient,reportRandom,reportRound,reportStringSize,reportSum,reportTouchingColor,reportTouchingObject,script,setColor,setEffect,setHeading,setPenHSVA,setScale,setSize,setVolume,setXPosition,setYPosition,show,snapshot,sprite,stage,turn,turnLeft,up,var,varDec,varMenu,xPosition,yPosition,zzzY
0,0.0,0.0,27.0,0.0,0.0,56.0,66.0,24.0,171.0,0.0,16.0,0.0,0.0,21.0,5.0,22.0,4732.0,0.0,10.0,32.0,39.0,80.0,1.0,36.0,17.0,23.0,3.0,0.0,3.0,71.0,15.0,0.0,313.0,31.0,0.0,30.0,0.0,0.0,67.0,232.0,3.0,4.0,0.0,267.0,0.0,127.0,4.0,17.0,230.0,0.0,5.0,0.0,10.0,49.0,0.0,0.0,1.0,163.0,299.0,1.0,1.0,4.0,198.0,185.0,0.0,49.0,289.0,0.0,49.0,61.0,60.0,0.0,7.0,12.0,211.0,14.0,15.0,0.0,6.0,17.0,121.0,14.0,23.0,1463.0,59.0,21.0,32.0,0.0,0.0,96.0,562.0,1285.0,94.0,0.0,273.0,259.0,0.0,0.0,85.0,4.0,1.0,1.0,0.0,110.0,6.0,395.0,0.0,32.0,0.0,2.0,19.0,22.0,4.0,23.0,0.0,3.0,136.0,128.0,16.0,39.0,0.0,0.0,0.0,0.0,200.0,4.0,72.0,0.0
1,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,62.0,0.0,0.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
2,0.0,0.0,24.0,0.0,0.0,34.0,28.0,0.0,11.0,4.0,5.0,0.0,0.0,0.0,14.0,3.0,990.0,0.0,0.0,4.0,2.0,53.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,40.0,7.0,0.0,31.0,18.0,0.0,0.0,5.0,3.0,19.0,88.0,0.0,2.0,0.0,0.0,0.0,159.0,0.0,119.0,8.0,11.0,2.0,0.0,14.0,20.0,0.0,0.0,0.0,85.0,11.0,1.0,0.0,33.0,0.0,9.0,14.0,29.0,94.0,0.0,2.0,29.0,7.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,22.0,103.0,17.0,0.0,0.0,0.0,0.0,11.0,55.0,426.0,19.0,0.0,13.0,88.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,8.0,2.0,0.0,0.0,0.0,0.0,71.0,4.0,35.0,0.0
3,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,123.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,16.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,31.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,61.0,28.0,0.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0
4,0.0,13.0,1.0,0.0,33.0,41.0,2.0,2.0,27.0,3.0,0.0,0.0,0.0,30.0,0.0,0.0,1277.0,0.0,15.0,23.0,3.0,4.0,2.0,5.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,6.0,18.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,5.0,86.0,8.0,5.0,10.0,1.0,91.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,1.0,0.0,5.0,0.0,134.0,0.0,4.0,69.0,0.0,9.0,38.0,15.0,0.0,0.0,0.0,23.0,0.0,30.0,2.0,3.0,2.0,0.0,0.0,19.0,581.0,50.0,18.0,1.0,11.0,29.0,25.0,64.0,183.0,138.0,34.0,18.0,160.0,0.0,0.0,37.0,1.0,0.0,1.0,0.0,2.0,8.0,97.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,26.0,0.0,0.0,150.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,110.0,22.0,14.0,0.0
5,0.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,12.0,0.0,0.0,0.0,29.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,7.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
6,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
7,0.0,10.0,5.0,0.0,4.0,50.0,10.0,11.0,48.0,0.0,0.0,0.0,0.0,31.0,0.0,13.0,1494.0,0.0,14.0,63.0,26.0,7.0,5.0,0.0,4.0,18.0,3.0,0.0,0.0,6.0,5.0,0.0,46.0,39.0,4.0,7.0,1.0,0.0,11.0,4.0,7.0,3.0,9.0,100.0,0.0,0.0,3.0,1.0,155.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,38.0,1.0,0.0,1.0,57.0,86.0,0.0,0.0,83.0,0.0,7.0,28.0,51.0,0.0,0.0,0.0,11.0,14.0,25.0,0.0,1.0,8.0,12.0,30.0,21.0,818.0,63.0,3.0,0.0,8.0,0.0,41.0,209.0,303.0,122.0,3.0,40.0,234.0,0.0,0.0,32.0,0.0,0.0,1.0,8.0,11.0,7.0,118.0,0.0,8.0,0.0,0.0,5.0,0.0,1.0,27.0,0.0,3.0,144.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,171.0,14.0,18.0,0.0
8,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,12.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0,15.0,27.0,0.0,51.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,466.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,70.0,11.0,0.0,0.0,0.0,0.0,4.0,40.0,0.0,1.0,0.0,18.0,0.0,25.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,13.0,85.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,15.0,94.0,213.0,16.0,0.0,13.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,1.0,3.0,16.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,57.0,0.0,2.0,0.0
