,,,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x11ba8f5d0>,100,100,2,0.7540983606557377,0.679245283018868,0.6428571428571429,0.5384615384615384,0.7692307692307693,0.8095238095238095,0.7532467532467532,0.7710843373493975,0.8059701492537312,0.7674418604651162,0.33333333333333337,0.7368421052631579,0.5517241379310344,0.6666666666666666,0.5217391304347826,0.28571428571428564,0.28571428571428575,0.6666666666666666,0.6956521739130435,0.761904761904762,0.5,0,0,0,0.28571428571428575
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x11ba8f5d0>,100,100,3,0.7142857142857142,0.6545454545454545,0.5090909090909091,0.5531914893617021,0.7187499999999999,0.7749999999999999,0.8205128205128205,0.75,0.823529411764706,0.761904761904762,0.5217391304347827,0.6666666666666665,0.6250000000000001,0.7058823529411765,0.5217391304347826,0.23529411764705885,0.26666666666666666,0.6,0.6666666666666666,0.7826086956521738,0.2857142857142857,0,0,0,0.26666666666666666
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x11ba8f5d0>,100,100,4,0.7368421052631577,0.6785714285714286,0.5964912280701754,0.608695652173913,0.7936507936507937,0.7466666666666667,0.8311688311688312,0.7560975609756098,0.8115942028985507,0.8045977011494253,0.6923076923076923,0.7027027027027029,0.6923076923076924,0.7027027027027027,0.5217391304347826,0.23529411764705885,0.3529411764705882,0.6,0.6666666666666666,0.75,0.2857142857142857,0,0,0,0.26666666666666666
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x11ba8f5d0>,100,100,5,0.7540983606557377,0.6101694915254238,0.6101694915254238,0.5777777777777778,0.7619047619047619,0.7397260273972602,0.8354430379746834,0.7560975609756098,0.7945205479452055,0.7954545454545453,0.5833333333333334,0.6842105263157896,0.7333333333333334,0.7027027027027027,0.64,0.25000000000000006,0.33333333333333326,0.6,0.6956521739130435,0.6956521739130435,0.2857142857142857,0,0,0,0.26666666666666666
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x11ba8f5d0>,100,100,6,0.7419354838709677,0.5964912280701754,0.6440677966101696,0.5454545454545455,0.75,0.7397260273972602,0.85,0.7469879518072289,0.7887323943661972,0.7674418604651162,0.6923076923076923,0.6842105263157896,0.7333333333333334,0.6842105263157895,0.64,0.25000000000000006,0.3157894736842105,0.6,0.6956521739130435,0.6666666666666666,0.25,0,0,0,0.26666666666666666
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x11ba8f5d0>,100,100,8,0.7213114754098361,0.5517241379310345,0.576271186440678,0.5777777777777778,0.73015873015873,0.6944444444444445,0.8205128205128205,0.6913580246913581,0.8,0.7674418604651162,0.6923076923076923,0.6842105263157896,0.7142857142857143,0.7027027027027027,0.5384615384615384,0.33333333333333326,0.33333333333333326,0.6,0.6363636363636365,0.6666666666666666,0.25,0,0,0,0.26666666666666666
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x11ba8f5d0>,100,100,10,0.7096774193548386,0.5614035087719299,0.5517241379310344,0.5909090909090908,0.73015873015873,0.6933333333333332,0.8311688311688312,0.6913580246913581,0.8,0.7764705882352942,0.6666666666666665,0.65,0.64,0.7222222222222222,0.5384615384615384,0.33333333333333326,0.3529411764705882,0.6,0.6086956521739131,0.6666666666666666,0.25,0,0,0,0.4705882352941177
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x11ba8f390>,100,100,2,0.7241379310344827,0.7037037037037037,0.6428571428571429,0.5384615384615384,0.7692307692307693,0.7951807228915663,0.7692307692307693,0.7710843373493975,0.8059701492537312,0.7674418604651162,0.33333333333333337,0.7368421052631579,0.5517241379310344,0.6666666666666666,0.5217391304347826,0.28571428571428564,0.28571428571428575,0.6666666666666666,0.6956521739130435,0.761904761904762,0.5,0,0,0,0.28571428571428575
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x11ba8f390>,100,100,3,0.7241379310344827,0.6545454545454545,0.5090909090909091,0.5531914893617021,0.7187499999999999,0.7749999999999999,0.8205128205128205,0.75,0.823529411764706,0.761904761904762,0.64,0.6666666666666665,0.6250000000000001,0.7058823529411765,0.5217391304347826,0.23529411764705885,0.26666666666666666,0.6,0.6666666666666666,0.7826086956521738,0.2857142857142857,0,0,0,0.26666666666666666
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x11ba8f390>,100,100,4,0.7142857142857142,0.6545454545454545,0.5964912280701754,0.608695652173913,0.7936507936507937,0.7792207792207793,0.8311688311688312,0.7560975609756098,0.8115942028985507,0.8045977011494253,0.6923076923076923,0.7027027027027029,0.6923076923076924,0.7027027027027027,0.5217391304347826,0.23529411764705885,0.3529411764705882,0.6,0.6666666666666666,0.75,0.2857142857142857,0,0,0,0.26666666666666666
