,,,,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1276f7590>,2,1,100,0.0,0.8524590163934426,,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1276f7590>,2,1,100,0.1,0.8000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1276f7590>,2,1,100,0.2,0.8363636363636363,,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1276f7590>,2,1,100,0.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1276f7590>,2,1,100,0.4,0.847457627118644,,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1276f7590>,2,1,100,0.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a9379d0>,3,3,100,0.0,,0.7017543859649122,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a9379d0>,3,3,100,0.1,,0.75,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a9379d0>,3,3,100,0.2,,0.6779661016949153,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a9379d0>,3,3,100,0.3,,0.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a9379d0>,3,3,100,0.4,,0.6229508196721311,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a9379d0>,3,3,100,0.5,,0.6285714285714286,,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12830a490>,2,2,100,0.0,,,0.7000000000000001,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12830a490>,2,2,100,0.1,,,0.6181818181818182,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12830a490>,2,2,100,0.2,,,0.6333333333333334,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12830a490>,2,2,100,0.3,,,0.7096774193548386,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12830a490>,2,2,100,0.4,,,0.7096774193548386,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12830a490>,2,2,100,0.5,,,0.6984126984126984,,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12830af50>,2,3,100,0.0,,,,0.6274509803921569,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12830af50>,2,3,100,0.1,,,,0.6530612244897959,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12830af50>,2,3,100,0.2,,,,0.7142857142857142,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12830af50>,2,3,100,0.3,,,,0.5660377358490566,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12830af50>,2,3,100,0.4,,,,0.6349206349206349,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12830af50>,2,3,100,0.5,,,,0.6129032258064515,,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd650>,1,1,100,0.0,,,,,0.7878787878787878,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd650>,1,1,100,0.1,,,,,0.7761194029850746,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd650>,1,1,100,0.2,,,,,0.6206896551724138,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd650>,1,1,100,0.3,,,,,0.746268656716418,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd650>,1,1,100,0.4,,,,,0.7647058823529412,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd650>,1,1,100,0.5,,,,,0.7647058823529412,,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd390>,1,2,100,0.0,,,,,,0.8705882352941177,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd390>,1,2,100,0.1,,,,,,0.8915662650602411,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd390>,1,2,100,0.2,,,,,,0.9069767441860465,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd390>,1,2,100,0.3,,,,,,0.888888888888889,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd390>,1,2,100,0.4,,,,,,0.8780487804878049,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fd390>,1,2,100,0.5,,,,,,0.8780487804878049,,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdf90>,2,1,100,0.0,,,,,,,0.8780487804878049,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdf90>,2,1,100,0.1,,,,,,,0.8780487804878049,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdf90>,2,1,100,0.2,,,,,,,0.9047619047619048,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdf90>,2,1,100,0.3,,,,,,,0.8780487804878049,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdf90>,2,1,100,0.4,,,,,,,0.9047619047619048,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdf90>,2,1,100,0.5,,,,,,,0.9047619047619048,,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdc50>,1,1,100,0.0,,,,,,,,0.8181818181818183,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdc50>,1,1,100,0.1,,,,,,,,0.8181818181818183,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdc50>,1,1,100,0.2,,,,,,,,0.8314606741573034,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdc50>,1,1,100,0.3,,,,,,,,0.8089887640449438,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdc50>,1,1,100,0.4,,,,,,,,0.8222222222222222,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x1282fdc50>,1,1,100,0.5,,,,,,,,0.8222222222222222,,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x12a911110>,3,3,100,0.0,,,,,,,,,0.8888888888888888,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x12a911110>,3,3,100,0.1,,,,,,,,,0.8615384615384616,,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x12a911110>,3,3,100,0.2,,,,,,,,,0.8888888888888888,,,,,,,,,,,,,,,,
