,,,support_thred,jd_diff_thred
cochangescore,All,0,0.2,
cochangescore,All,1,0.1,
cochangescore,All,2,0.1,
cochangescore,All,3,0.2,
cochangescore,All,4,0.1,
cochangescore,All,5,0.1,
cochangescore,All,6,0.1,
cochangescore,All,7,0.1,
cochangescore,All,8,0.1,
cochangescore,All,9,0.1,
cochangescore,AndAll,0,,0.2
cochangescore,AndAll,1,,0.2
cochangescore,AndAll,2,,0.3
cochangescore,AndAll,3,,0.2
cochangescore,AndAll,4,,0.1
cochangescore,AndAll,5,,0.2
cochangescore,AndAll,6,,0.2
cochangescore,AndAll,7,,0.1
cochangescore,AndAll,8,,0.1
cochangescore,AndAll,9,,0.1
