,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
keymove,Neighbor,167.0,217.0,33.0,23.0,0.87,0.84,0.88,0.86,0.87
keymove,All,173.0,223.0,27.0,17.0,0.9,0.86,0.91,0.89,0.9
jump,Neighbor,65.0,334.0,28.0,13.0,0.91,0.7,0.83,0.76,0.88
jump,All,64.0,353.0,9.0,14.0,0.95,0.88,0.82,0.85,0.9
cochangescore,Neighbor,79.0,262.0,62.0,37.0,0.78,0.56,0.68,0.61,0.74
cochangescore,All,71.0,273.0,51.0,45.0,0.78,0.58,0.61,0.6,0.73
movetomouse,Neighbor,20.0,389.0,3.0,28.0,0.93,0.87,0.42,0.56,0.7
movetomouse,All,35.0,390.0,2.0,13.0,0.97,0.95,0.73,0.82,0.86
moveanimate,Neighbor,22.0,364.0,23.0,31.0,0.88,0.49,0.42,0.45,0.68
moveanimate,All,40.0,376.0,11.0,13.0,0.95,0.78,0.75,0.77,0.86
costopall,Neighbor,3.0,415.0,3.0,19.0,0.95,0.5,0.14,0.21,0.56
costopall,All,19.0,418.0,0.0,3.0,0.99,1.0,0.86,0.93,0.93
