,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
keymove,AllOneHot,1560.0,1749.0,231.0,150.0,0.9,0.87,0.91,0.89,0.9
keymove,Neighbor,1668.0,1980.0,0.0,42.0,0.99,1.0,0.98,0.99,0.99
keymove,All,1707.0,1977.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
keymove,DPM,1640.0,1950.0,30.0,70.0,0.97,0.98,0.96,0.97,0.97
keymove,AndAllFull,1618.0,1753.0,227.0,92.0,0.91,0.88,0.95,0.91,0.92
keymove,AndAll,1710.0,1980.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
jump,AllOneHot,599.0,2977.0,11.0,103.0,0.97,0.98,0.85,0.91,0.92
jump,Neighbor,702.0,2988.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
jump,All,702.0,2988.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
jump,DPM,688.0,2988.0,0.0,14.0,1.0,1.0,0.98,0.99,0.99
jump,AndAllFull,697.0,2988.0,0.0,5.0,1.0,1.0,0.99,1.0,1.0
jump,AndAll,702.0,2988.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
cochangescore,AllOneHot,423.0,2587.0,59.0,621.0,0.82,0.88,0.41,0.55,0.69
cochangescore,Neighbor,1001.0,2630.0,16.0,43.0,0.98,0.98,0.96,0.97,0.98
cochangescore,All,1034.0,2634.0,12.0,10.0,0.99,0.99,0.99,0.99,0.99
cochangescore,DPM,701.0,2642.0,4.0,343.0,0.91,0.99,0.67,0.8,0.83
cochangescore,AndAllFull,388.0,2426.0,220.0,656.0,0.76,0.64,0.37,0.47,0.64
cochangescore,AndAll,1044.0,2646.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
movetomouse,AllOneHot,275.0,3258.0,0.0,157.0,0.96,1.0,0.64,0.78,0.82
movetomouse,Neighbor,395.0,3258.0,0.0,37.0,0.99,1.0,0.91,0.96,0.96
movetomouse,All,432.0,3258.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
movetomouse,DPM,425.0,3258.0,0.0,7.0,1.0,1.0,0.98,0.99,0.99
movetomouse,AndAllFull,397.0,3254.0,4.0,35.0,0.99,0.99,0.92,0.95,0.96
movetomouse,AndAll,432.0,3258.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
moveanimate,AllOneHot,154.0,3211.0,2.0,323.0,0.91,0.99,0.32,0.49,0.66
moveanimate,Neighbor,467.0,3213.0,0.0,10.0,1.0,1.0,0.98,0.99,0.99
moveanimate,All,477.0,3213.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
moveanimate,DPM,473.0,3213.0,0.0,4.0,1.0,1.0,0.99,1.0,1.0
moveanimate,AndAllFull,323.0,3210.0,3.0,154.0,0.96,0.99,0.68,0.8,0.84
moveanimate,AndAll,477.0,3213.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
costopall,AllOneHot,179.0,3492.0,0.0,19.0,0.99,1.0,0.9,0.95,0.95
costopall,Neighbor,151.0,3492.0,0.0,47.0,0.99,1.0,0.76,0.87,0.88
costopall,All,198.0,3492.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
costopall,DPM,198.0,3492.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
costopall,AndAllFull,198.0,3492.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
costopall,AndAll,198.0,3492.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
