,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
cochangescore,OneHot,61.0,261.0,63.0,55.0,0.73,0.49,0.53,0.51,0.67
cochangescore,Neighbor,89.0,257.0,67.0,27.0,0.79,0.57,0.77,0.65,0.78
keymove,OneHot,158.0,201.0,49.0,32.0,0.82,0.76,0.83,0.8,0.82
keymove,Neighbor,177.0,215.0,35.0,13.0,0.89,0.83,0.93,0.88,0.9
jump,OneHot,55.0,308.0,54.0,23.0,0.82,0.5,0.71,0.59,0.78
jump,Neighbor,65.0,324.0,38.0,13.0,0.88,0.63,0.83,0.72,0.86
movetomouse,OneHot,18.0,360.0,32.0,30.0,0.86,0.36,0.38,0.37,0.65
movetomouse,Neighbor,33.0,381.0,11.0,15.0,0.94,0.75,0.69,0.72,0.83
costopall,OneHot,5.0,400.0,18.0,17.0,0.92,0.22,0.23,0.22,0.59
costopall,Neighbor,6.0,413.0,5.0,16.0,0.95,0.55,0.27,0.36,0.63
