,,,support_thred,jd_diff_thred
cochangescore,All,0,0.2,
cochangescore,All,1,0.2,
cochangescore,All,2,0.2,
cochangescore,All,3,0.2,
cochangescore,All,4,0.2,
cochangescore,All,5,0.2,
cochangescore,All,6,0.2,
cochangescore,All,7,0.2,
cochangescore,All,8,0.2,
cochangescore,All,9,0.2,
cochangescore,AndAll,0,,0.3
cochangescore,AndAll,1,,0.3
cochangescore,AndAll,2,,
cochangescore,AndAll,3,,
cochangescore,AndAll,4,,
cochangescore,AndAll,5,,
cochangescore,AndAll,6,,
cochangescore,AndAll,7,,
cochangescore,AndAll,8,,
cochangescore,AndAll,9,,
keymove,All,0,,
keymove,All,1,,
keymove,All,2,,
keymove,All,3,,
keymove,All,4,,
keymove,All,5,,
keymove,All,6,,
keymove,All,7,,
keymove,All,8,,
keymove,All,9,,
keymove,AndAll,0,,
keymove,AndAll,1,,
keymove,AndAll,2,,
keymove,AndAll,3,,
keymove,AndAll,4,,
keymove,AndAll,5,,
keymove,AndAll,6,,
keymove,AndAll,7,,
keymove,AndAll,8,,
keymove,AndAll,9,,
jump,All,0,,
jump,All,1,,
jump,All,2,,
jump,All,3,,
jump,All,4,,
jump,All,5,,
jump,All,6,,
jump,All,7,,
jump,All,8,,
jump,All,9,,
jump,AndAll,0,,
jump,AndAll,1,,
jump,AndAll,2,,
jump,AndAll,3,,
jump,AndAll,4,,
jump,AndAll,5,,
jump,AndAll,6,,
jump,AndAll,7,,
jump,AndAll,8,,
jump,AndAll,9,,
movetomouse,All,0,,
movetomouse,All,1,,
movetomouse,All,2,,
movetomouse,All,3,,
movetomouse,All,4,,
movetomouse,All,5,,
movetomouse,All,6,,
movetomouse,All,7,,
movetomouse,All,8,,
movetomouse,All,9,,
movetomouse,AndAll,0,,
movetomouse,AndAll,1,,
movetomouse,AndAll,2,,
movetomouse,AndAll,3,,
movetomouse,AndAll,4,,
movetomouse,AndAll,5,,
movetomouse,AndAll,6,,
movetomouse,AndAll,7,,
movetomouse,AndAll,8,,
movetomouse,AndAll,9,,
costopall,All,0,,
costopall,All,1,,
costopall,All,2,,
costopall,All,3,,
costopall,All,4,,
costopall,All,5,,
costopall,All,6,,
costopall,All,7,,
costopall,All,8,,
costopall,All,9,,
costopall,AndAll,0,,
costopall,AndAll,1,,
costopall,AndAll,2,,
costopall,AndAll,3,,
costopall,AndAll,4,,
costopall,AndAll,5,,
costopall,AndAll,6,,
costopall,AndAll,7,,
costopall,AndAll,8,,
costopall,AndAll,9,,
