,,,support_thred,jd_diff_thred
jump,All,0,0,
jump,All,1,0,
jump,All,2,0,
jump,All,3,0,
jump,All,4,0,
jump,All,5,0,
jump,All,6,0,
jump,All,7,0,
jump,All,8,0,
jump,All,9,0,
jump,AndAll,0,,0.3
jump,AndAll,1,,
jump,AndAll,2,,
jump,AndAll,3,,
jump,AndAll,4,,
jump,AndAll,5,,
jump,AndAll,6,,
jump,AndAll,7,,
jump,AndAll,8,,
jump,AndAll,9,,
movetomouse,All,0,,
movetomouse,All,1,,
movetomouse,All,2,,
movetomouse,All,3,,
movetomouse,All,4,,
movetomouse,All,5,,
movetomouse,All,6,,
movetomouse,All,7,,
movetomouse,All,8,,
movetomouse,All,9,,
movetomouse,AndAll,0,,
movetomouse,AndAll,1,,
movetomouse,AndAll,2,,
movetomouse,AndAll,3,,
movetomouse,AndAll,4,,
movetomouse,AndAll,5,,
movetomouse,AndAll,6,,
movetomouse,AndAll,7,,
movetomouse,AndAll,8,,
movetomouse,AndAll,9,,
costopall,All,0,,
costopall,All,1,,
costopall,All,2,,
costopall,All,3,,
costopall,All,4,,
costopall,All,5,,
costopall,All,6,,
costopall,All,7,,
costopall,All,8,,
costopall,All,9,,
costopall,AndAll,0,,
costopall,AndAll,1,,
costopall,AndAll,2,,
costopall,AndAll,3,,
costopall,AndAll,4,,
costopall,AndAll,5,,
costopall,AndAll,6,,
costopall,AndAll,7,,
costopall,AndAll,8,,
costopall,AndAll,9,,
