,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
keymove,AndAll,173.0,223.0,27.0,17.0,0.9,0.86,0.91,0.89,0.9
keymove,DPM,134.0,212.0,38.0,56.0,0.79,0.78,0.71,0.74,0.78
keymove,All,173.0,223.0,27.0,17.0,0.9,0.86,0.91,0.89,0.9
keymove,And,175.0,190.0,60.0,15.0,0.83,0.74,0.92,0.82,0.84
jump,AndAll,64.0,353.0,9.0,14.0,0.95,0.88,0.82,0.85,0.9
jump,DPM,44.0,336.0,26.0,34.0,0.86,0.63,0.56,0.59,0.75
jump,All,64.0,353.0,9.0,14.0,0.95,0.88,0.82,0.85,0.9
jump,And,72.0,361.0,1.0,6.0,0.98,0.99,0.92,0.95,0.96
cochangescore,AndAll,71.0,273.0,51.0,45.0,0.78,0.58,0.61,0.6,0.73
cochangescore,DPM,34.0,280.0,44.0,82.0,0.71,0.44,0.29,0.35,0.58
cochangescore,All,71.0,273.0,51.0,45.0,0.78,0.58,0.61,0.6,0.73
cochangescore,And,92.0,267.0,57.0,24.0,0.82,0.62,0.79,0.69,0.81
movetomouse,AndAll,35.0,390.0,2.0,13.0,0.97,0.95,0.73,0.82,0.86
movetomouse,DPM,19.0,377.0,15.0,29.0,0.9,0.56,0.4,0.46,0.68
movetomouse,All,35.0,390.0,2.0,13.0,0.97,0.95,0.73,0.82,0.86
movetomouse,And,31.0,323.0,69.0,17.0,0.8,0.31,0.65,0.42,0.73
moveanimate,AndAll,40.0,376.0,11.0,13.0,0.95,0.78,0.75,0.77,0.86
moveanimate,DPM,19.0,368.0,19.0,34.0,0.88,0.5,0.36,0.42,0.65
moveanimate,All,40.0,376.0,11.0,13.0,0.95,0.78,0.75,0.77,0.86
moveanimate,And,29.0,347.0,40.0,24.0,0.85,0.42,0.55,0.48,0.72
costopall,AndAll,19.0,418.0,0.0,3.0,0.99,1.0,0.86,0.93,0.93
costopall,DPM,3.0,414.0,4.0,19.0,0.95,0.43,0.14,0.21,0.56
costopall,All,19.0,418.0,0.0,3.0,0.99,1.0,0.86,0.93,0.93
costopall,And,20.0,403.0,15.0,2.0,0.96,0.57,0.91,0.7,0.94
