,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
keymove,AllOneHot,168.0,223.0,27.0,22.0,0.89,0.86,0.88,0.87,0.89
keymove,Neighbor,167.0,217.0,33.0,23.0,0.87,0.84,0.88,0.86,0.87
keymove,All,173.0,223.0,27.0,17.0,0.9,0.86,0.91,0.89,0.9
keymove,DPM,175.0,221.0,29.0,15.0,0.9,0.86,0.92,0.89,0.9
keymove,AndAllFull,173.0,56.0,194.0,17.0,0.52,0.47,0.91,0.62,0.57
keymove,AndAll,179.0,211.0,39.0,11.0,0.89,0.82,0.94,0.88,0.89
jump,AllOneHot,56.0,319.0,43.0,22.0,0.85,0.57,0.72,0.63,0.8
jump,Neighbor,65.0,334.0,28.0,13.0,0.91,0.7,0.83,0.76,0.88
jump,All,64.0,353.0,9.0,14.0,0.95,0.88,0.82,0.85,0.9
jump,DPM,65.0,353.0,9.0,13.0,0.95,0.88,0.83,0.86,0.9
jump,AndAllFull,65.0,329.0,33.0,13.0,0.9,0.66,0.83,0.74,0.87
jump,AndAll,72.0,361.0,1.0,6.0,0.98,0.99,0.92,0.95,0.96
cochangescore,AllOneHot,22.0,305.0,19.0,94.0,0.74,0.54,0.19,0.28,0.57
cochangescore,Neighbor,79.0,262.0,62.0,37.0,0.78,0.56,0.68,0.61,0.74
cochangescore,All,71.0,273.0,51.0,45.0,0.78,0.58,0.61,0.6,0.73
cochangescore,DPM,62.0,263.0,61.0,54.0,0.74,0.5,0.53,0.52,0.67
cochangescore,AndAllFull,44.0,278.0,46.0,72.0,0.73,0.49,0.38,0.43,0.62
cochangescore,AndAll,99.0,266.0,58.0,17.0,0.83,0.63,0.85,0.73,0.84
movetomouse,AllOneHot,8.0,379.0,13.0,40.0,0.88,0.38,0.17,0.23,0.57
movetomouse,Neighbor,20.0,389.0,3.0,28.0,0.93,0.87,0.42,0.56,0.7
movetomouse,All,35.0,390.0,2.0,13.0,0.97,0.95,0.73,0.82,0.86
movetomouse,DPM,37.0,380.0,12.0,11.0,0.95,0.76,0.77,0.76,0.87
movetomouse,AndAllFull,34.0,371.0,21.0,14.0,0.92,0.62,0.71,0.66,0.83
movetomouse,AndAll,36.0,389.0,3.0,12.0,0.97,0.92,0.75,0.83,0.87
moveanimate,AllOneHot,11.0,360.0,27.0,42.0,0.84,0.29,0.21,0.24,0.57
moveanimate,Neighbor,22.0,364.0,23.0,31.0,0.88,0.49,0.42,0.45,0.68
moveanimate,All,40.0,376.0,11.0,13.0,0.95,0.78,0.75,0.77,0.86
moveanimate,DPM,41.0,359.0,28.0,12.0,0.91,0.59,0.77,0.67,0.85
moveanimate,AndAllFull,15.0,370.0,17.0,38.0,0.88,0.47,0.28,0.35,0.62
moveanimate,AndAll,36.0,376.0,11.0,17.0,0.94,0.77,0.68,0.72,0.83
costopall,AllOneHot,9.0,407.0,11.0,13.0,0.95,0.45,0.41,0.43,0.69
costopall,Neighbor,3.0,415.0,3.0,19.0,0.95,0.5,0.14,0.21,0.56
costopall,All,19.0,418.0,0.0,3.0,0.99,1.0,0.86,0.93,0.93
costopall,DPM,19.0,418.0,0.0,3.0,0.99,1.0,0.86,0.93,0.93
costopall,AndAllFull,15.0,418.0,0.0,7.0,0.98,1.0,0.68,0.81,0.84
costopall,AndAll,20.0,418.0,0.0,2.0,1.0,1.0,0.91,0.95,0.95
